[2026-07-10 12:02:53] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:03:12] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:03:12] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:03:41] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:03:41] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:03:42] INFO     | foreground_wait_class_parser | ✅ Parsed 12 Foreground Wait Class records.
[2026-07-10 12:03:42] INFO     | foreground_wait_class_parser | ✅ Inserted 12 rows into awr_foreground_wait_class
[2026-07-10 12:04:23] INFO     | foreground_wait_class_parser | ✅ Parsed 7 Foreground Wait Class records.
[2026-07-10 12:04:23] INFO     | foreground_wait_class_parser | ✅ Inserted 7 rows into awr_foreground_wait_class
[2026-07-10 12:04:29] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:04:29] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:04:53] INFO     | foreground_wait_class_parser | ✅ Parsed 12 Foreground Wait Class records.
[2026-07-10 12:04:53] INFO     | foreground_wait_class_parser | ✅ Inserted 12 rows into awr_foreground_wait_class
[2026-07-10 12:05:24] INFO     | foreground_wait_class_parser | ✅ Parsed 10 Foreground Wait Class records.
[2026-07-10 12:05:24] INFO     | foreground_wait_class_parser | ✅ Inserted 10 rows into awr_foreground_wait_class
[2026-07-10 12:05:36] INFO     | foreground_wait_class_parser | ✅ Parsed 7 Foreground Wait Class records.
[2026-07-10 12:05:36] INFO     | foreground_wait_class_parser | ✅ Inserted 7 rows into awr_foreground_wait_class
[2026-07-10 12:06:05] INFO     | foreground_wait_class_parser | ✅ Parsed 12 Foreground Wait Class records.
[2026-07-10 12:06:05] INFO     | foreground_wait_class_parser | ✅ Inserted 12 rows into awr_foreground_wait_class
[2026-07-10 12:06:19] INFO     | foreground_wait_class_parser | ✅ Parsed 10 Foreground Wait Class records.
[2026-07-10 12:06:19] INFO     | foreground_wait_class_parser | ✅ Inserted 10 rows into awr_foreground_wait_class
[2026-07-10 12:06:47] INFO     | foreground_wait_class_parser | ✅ Parsed 7 Foreground Wait Class records.
[2026-07-10 12:06:47] INFO     | foreground_wait_class_parser | ✅ Inserted 7 rows into awr_foreground_wait_class
[2026-07-10 12:07:14] INFO     | foreground_wait_class_parser | ✅ Parsed 10 Foreground Wait Class records.
[2026-07-10 12:07:14] INFO     | foreground_wait_class_parser | ✅ Inserted 10 rows into awr_foreground_wait_class
[2026-07-10 12:07:17] INFO     | foreground_wait_class_parser | ✅ Parsed 12 Foreground Wait Class records.
[2026-07-10 12:07:17] INFO     | foreground_wait_class_parser | ✅ Inserted 12 rows into awr_foreground_wait_class
[2026-07-10 12:07:55] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:07:55] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:08:28] INFO     | foreground_wait_class_parser | ✅ Parsed 12 Foreground Wait Class records.
[2026-07-10 12:08:28] INFO     | foreground_wait_class_parser | ✅ Inserted 12 rows into awr_foreground_wait_class
[2026-07-10 12:09:05] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:09:05] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:09:39] INFO     | foreground_wait_class_parser | ✅ Parsed 12 Foreground Wait Class records.
[2026-07-10 12:09:39] INFO     | foreground_wait_class_parser | ✅ Inserted 12 rows into awr_foreground_wait_class
[2026-07-10 12:10:14] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:10:14] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:10:23] INFO     | foreground_wait_class_parser | ✅ Parsed 11 Foreground Wait Class records.
[2026-07-10 12:10:23] INFO     | foreground_wait_class_parser | ✅ Inserted 11 rows into awr_foreground_wait_class
[2026-07-10 12:10:49] INFO     | foreground_wait_class_parser | ✅ Parsed 12 Foreground Wait Class records.
[2026-07-10 12:10:49] INFO     | foreground_wait_class_parser | ✅ Inserted 12 rows into awr_foreground_wait_class
[2026-07-10 12:11:21] INFO     | foreground_wait_class_parser | ✅ Parsed 11 Foreground Wait Class records.
[2026-07-10 12:11:21] INFO     | foreground_wait_class_parser | ✅ Inserted 11 rows into awr_foreground_wait_class
[2026-07-10 12:11:29] INFO     | foreground_wait_class_parser | ✅ Parsed 8 Foreground Wait Class records.
[2026-07-10 12:11:29] INFO     | foreground_wait_class_parser | ✅ Inserted 8 rows into awr_foreground_wait_class
[2026-07-10 12:12:05] INFO     | foreground_wait_class_parser | ✅ Parsed 12 Foreground Wait Class records.
[2026-07-10 12:12:05] INFO     | foreground_wait_class_parser | ✅ Inserted 12 rows into awr_foreground_wait_class
[2026-07-10 12:12:15] INFO     | foreground_wait_class_parser | ✅ Parsed 11 Foreground Wait Class records.
[2026-07-10 12:12:15] INFO     | foreground_wait_class_parser | ✅ Inserted 11 rows into awr_foreground_wait_class
[2026-07-10 12:12:40] INFO     | foreground_wait_class_parser | ✅ Parsed 8 Foreground Wait Class records.
[2026-07-10 12:12:40] INFO     | foreground_wait_class_parser | ✅ Inserted 8 rows into awr_foreground_wait_class
[2026-07-10 12:13:07] INFO     | foreground_wait_class_parser | ✅ Parsed 11 Foreground Wait Class records.
[2026-07-10 12:13:07] INFO     | foreground_wait_class_parser | ✅ Inserted 11 rows into awr_foreground_wait_class
[2026-07-10 12:13:17] INFO     | foreground_wait_class_parser | ✅ Parsed 12 Foreground Wait Class records.
[2026-07-10 12:13:17] INFO     | foreground_wait_class_parser | ✅ Inserted 12 rows into awr_foreground_wait_class
[2026-07-10 12:13:51] INFO     | foreground_wait_class_parser | ✅ Parsed 8 Foreground Wait Class records.
[2026-07-10 12:13:51] INFO     | foreground_wait_class_parser | ✅ Inserted 8 rows into awr_foreground_wait_class
[2026-07-10 12:13:56] INFO     | foreground_wait_class_parser | ✅ Parsed 11 Foreground Wait Class records.
[2026-07-10 12:13:56] INFO     | foreground_wait_class_parser | ✅ Inserted 11 rows into awr_foreground_wait_class
[2026-07-10 12:14:28] INFO     | foreground_wait_class_parser | ✅ Parsed 12 Foreground Wait Class records.
[2026-07-10 12:14:28] INFO     | foreground_wait_class_parser | ✅ Inserted 12 rows into awr_foreground_wait_class
[2026-07-10 12:14:48] INFO     | foreground_wait_class_parser | ✅ Parsed 11 Foreground Wait Class records.
[2026-07-10 12:14:48] INFO     | foreground_wait_class_parser | ✅ Inserted 11 rows into awr_foreground_wait_class
[2026-07-10 12:15:03] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:15:03] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
[2026-07-10 12:15:37] INFO     | foreground_wait_class_parser | ✅ Parsed 8 Foreground Wait Class records.
[2026-07-10 12:15:37] INFO     | foreground_wait_class_parser | ✅ Inserted 8 rows into awr_foreground_wait_class
[2026-07-10 12:15:42] INFO     | foreground_wait_class_parser | ✅ Parsed 12 Foreground Wait Class records.
[2026-07-10 12:15:43] INFO     | foreground_wait_class_parser | ✅ Inserted 12 rows into awr_foreground_wait_class
[2026-07-10 12:16:21] INFO     | foreground_wait_class_parser | ✅ Parsed 9 Foreground Wait Class records.
[2026-07-10 12:16:21] INFO     | foreground_wait_class_parser | ✅ Inserted 9 rows into awr_foreground_wait_class
