[2026-07-10 12:04:35] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:05:02] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:05:02] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:05:31] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:05:31] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:05:44] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:05:44] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:06:14] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:06:14] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:06:26] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:06:26] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:06:55] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:06:55] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:07:18] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:07:18] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:07:25] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:07:25] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:08:03] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:08:03] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:08:37] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:08:37] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:09:13] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:09:13] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:09:48] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:09:48] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:10:23] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:10:23] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:10:30] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:10:30] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:11:01] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:11:02] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:11:28] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:11:28] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:11:38] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:11:38] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
[2026-07-10 12:12:14] INFO     | io_profile_parser | ✅ Parsed 11 IO Profile records.
[2026-07-10 12:12:14] INFO     | io_profile_parser | ✅ Inserted 11 rows into awr_io_profile
