[2026-07-10 11:59:49] INFO     | instance_activity_statistics_parser | Found 16 rows in Key Instance Activity Stats section
[2026-07-10 11:59:49] INFO     | instance_activity_statistics_parser | ✅ Parsed 16 Key Instance Activity Stats records
[2026-07-10 11:59:49] INFO     | instance_activity_statistics_parser | ✅ Inserted 16 rows into awr_instance_activity_stats
[2026-07-10 12:00:23] INFO     | instance_activity_statistics_parser | Found 17 rows in Key Instance Activity Stats section
[2026-07-10 12:00:23] INFO     | instance_activity_statistics_parser | ✅ Parsed 17 Key Instance Activity Stats records
[2026-07-10 12:00:23] INFO     | instance_activity_statistics_parser | ✅ Inserted 17 rows into awr_instance_activity_stats
[2026-07-10 12:00:24] INFO     | instance_activity_statistics_parser | Found 20 rows in Key Instance Activity Stats section
[2026-07-10 12:00:24] INFO     | instance_activity_statistics_parser | ✅ Parsed 20 Key Instance Activity Stats records
[2026-07-10 12:00:24] INFO     | instance_activity_statistics_parser | ✅ Inserted 20 rows into awr_instance_activity_stats
[2026-07-10 12:00:58] INFO     | instance_activity_statistics_parser | Found 16 rows in Key Instance Activity Stats section
[2026-07-10 12:00:58] INFO     | instance_activity_statistics_parser | ✅ Parsed 16 Key Instance Activity Stats records
[2026-07-10 12:00:58] INFO     | instance_activity_statistics_parser | ✅ Inserted 16 rows into awr_instance_activity_stats
[2026-07-10 12:01:15] INFO     | instance_activity_statistics_parser | Found 17 rows in Key Instance Activity Stats section
[2026-07-10 12:01:15] INFO     | instance_activity_statistics_parser | ✅ Parsed 17 Key Instance Activity Stats records
[2026-07-10 12:01:15] INFO     | instance_activity_statistics_parser | ✅ Inserted 17 rows into awr_instance_activity_stats
[2026-07-10 12:01:31] INFO     | instance_activity_statistics_parser | Found 20 rows in Key Instance Activity Stats section
[2026-07-10 12:01:31] INFO     | instance_activity_statistics_parser | ✅ Parsed 20 Key Instance Activity Stats records
[2026-07-10 12:01:31] INFO     | instance_activity_statistics_parser | ✅ Inserted 20 rows into awr_instance_activity_stats
[2026-07-10 12:02:06] INFO     | instance_activity_statistics_parser | Found 17 rows in Key Instance Activity Stats section
[2026-07-10 12:02:06] INFO     | instance_activity_statistics_parser | ✅ Parsed 17 Key Instance Activity Stats records
[2026-07-10 12:02:06] INFO     | instance_activity_statistics_parser | ✅ Inserted 17 rows into awr_instance_activity_stats
[2026-07-10 12:02:07] INFO     | instance_activity_statistics_parser | Found 16 rows in Key Instance Activity Stats section
