NAME,WAIT_CLASS
recovery coordinator apply pending,Other
recovery coordinator marker apply,Other
recovery coordinator message,Other
recovery merge pending,Other
recovery metadata latch,Other
recovery checkpoint,Other
recovery apply pending,Other
recovery fuzzy update,Other
recovery shutdown,Other
recovery message,Other
recovery slaves to be informed,Other
recovery move influx buffers,Other
recovery marker apply,Other
recovery timestamp,Other
recovery send buffer free,Other
DBMS_ROLLING instruction completion,Other
Shadow lost write,Other
blocking txn id for DDL,Other
transaction,Other
inactive transaction branch,Other
txn to complete,Other
PMON to cleanup pseudo-branches at svc stop time,Other
PMON to cleanup detached branches at shutdown,Other
test long ops,Other
latch: undo global data,Other
undo segment recovery,Other
unbound tx,Other
wait for change,Other
wait for another txn - undo rcv abort,Other
wait for another txn - txn abort,Other
wait for another txn - rollback to savepoint,Other
undo_retention publish retry,Other
txn cache read version,Other
enq: TA - contention,Other
enq: TX - contention,Other
enq: US - contention,Other
wait for stopper event to be increased,Other
wait for a undo record,Other
wait for a paralle reco to abort,Other
enq: IM - contention for blr,Other
enq: TD - KTF dump entries,Other
enq: TE - KTF broadcast,Other
enq: CN - race with txn,Other
enq: CN - race with reg,Other
enq: CN - race with init,Other
latch: Change Notification Hash table latch,Other
enq: CO - master slave det,Other
enq: FE - contention,Other
latch: change notification client cache latch,Other
latch: SGA Logging Log Latch,Other
latch: SGA Logging Bkt Latch,Other
enq: MC - Securefile log,Other
enq: MF - flush bkgnd periodic,Other
enq: MF - creating swap in instance,Other
enq: MF - flush space,Other
enq: MF - flush client,Other
enq: MF - flush prior error,Other
enq: MF - flush destroy,Other
latch: ILM activity tracking latch,Other
latch: ILM access tracking extent,Other
IM CU busy,Other
enq: ZQ - register,Other
enq: ZQ - quiesce,Other
IM ADG space pressure,Other
enq: TF - contention,Other
latch: lob segment hash table latch,Other
latch: lob segment query latch,Other
latch: lob segment dispenser latch,Other
Wait for shrink lock2,Other
Wait for shrink lock,Other
L1 validation,Other
Wait for TT enqueue,Other
kttm2d,Other
ktsambl,Other
ktfbtgex,Other
enq: DT - contention,Other
enq: TS - contention,Other
enq: FB - contention,Other
enq: SK - contention,Other
enq: DW - contention,Other
enq: SU - contention,Other
enq: TT - contention,Other
ktm: instance recovery,Other
instance state change,Other
enq: SM - contention,Other
enq: SJ - Slave Task Cancel,Other
Space Manager: slave messages,Other
enq: FH - contention,Other
latch: IM area scb latch,Other
latch: IM area sb latch,Other
enq: TZ - contention,Other
enq: IN - contention,Other
enq: ZB - contention,Other
latch: IM seg hdr latch,Other
latch: IM emb latch,Other
Analyze hash compare,Other
index block split,Other
internal test event (index split branch),Other
internal test event (index split leaf),Other
kdblil wait before retrying ORA-54,Other
dupl. cluster key,Other
internal test event (index merge),Other
enq: DL - contention,Other
enq: HQ - contention,Other
enq: HP - contention,Other
Securefile Write Gather Cache Yield Process,Other
enq: KL - contention,Other
enq: WG - delete fso,Other
enq: SL - get lock,Other
enq: SL - escalate lock,Other
enq: SL - get lock for undo,Other
enq: ZH - compression analysis,Other
Compression analysis,Other
enq: SZ - contention,Other
enq: ZC - FS Seg contention,Other
enq: ZD - FS CU mod,Other
enq: SY - IM populate by other session,Other
enq: JZ - Join group dictionary,Other
IM populate completion,Other
IMXT Populate - drop HT,Other
IM FastStart deadlock retry,Other
IM ADO scheduler retry,Other
latch: IMFS defer write list,Other
IMFS Flush defer writes,Other
In-Memory populate: over pga limit,Other
latch: Column stats entry latch,Other
row cache cleanup,Other
row cache process,Other
enq: QA - contention,Other
enq: QB - contention,Other
enq: QC - contention,Other
enq: QD - contention,Other
enq: QE - contention,Other
enq: QF - contention,Other
enq: QG - contention,Other
enq: QH - contention,Other
enq: QI - contention,Other
enq: QJ - contention,Other
enq: QK - contention,Other
enq: QL - contention,Other
enq: QM - contention,Other
enq: QN - contention,Other
enq: QO - contention,Other
enq: QP - contention,Other
enq: QQ - contention,Other
enq: QR - contention,Other
enq: QS - contention,Other
enq: QT - contention,Other
enq: QU - contention,Other
enq: QV - contention,Other
enq: QX - contention,Other
enq: QY - contention,Other
enq: QZ - contention,Other
enq: DV - contention,Other
enq: SO - contention,Other
RAC: row cache lock nowait retry,Other
enq: VA - contention,Other
enq: VB - contention,Other
enq: VC - contention,Other
enq: VD - contention,Other
enq: VE - contention,Other
enq: VF - contention,Other
enq: VG - contention,Other
enq: VH - contention,Other
enq: VI - contention,Other
enq: VJ - contention,Other
enq: VK - contention,Other
enq: VL - contention,Other
enq: VM - contention,Other
enq: VN - contention,Other
enq: VO - contention,Other
enq: VP - contention,Other
enq: VQ - contention,Other
enq: VR - contention,Other
enq: VS - contention,Other
enq: VT - contention,Other
enq: VU - contention,Other
enq: VV - contention,Other
enq: VX - contention,Other
enq: VY - contention,Other
enq: VZ - contention,Other
enq: EA - contention,Other
enq: EB - contention,Other
enq: EC - contention,Other
enq: ED - contention,Other
enq: EE - contention,Other
enq: EF - contention,Other
enq: EG - contention,Other
enq: EH - contention,Other
enq: EI - contention,Other
enq: EJ - contention,Other
enq: EK - contention,Other
enq: EL - contention,Other
enq: EM - contention,Other
enq: EN - contention,Other
enq: EO - contention,Other
enq: EP - contention,Other
enq: EQ - contention,Other
enq: ER - contention,Other
enq: ES - contention,Other
enq: ET - contention,Other
enq: EU - contention,Other
enq: EV - contention,Other
enq: EX - contention,Other
enq: EY - contention,Other
enq: EZ - contention,Other
enq: LA - contention,Other
enq: LB - contention,Other
enq: LC - contention,Other
enq: LD - contention,Other
enq: LE - contention,Other
enq: LF - contention,Other
enq: LG - contention,Other
enq: LH - contention,Other
enq: LI - contention,Other
enq: LJ - contention,Other
enq: LK - contention,Other
enq: LL - contention,Other
enq: LM - contention,Other
enq: LN - contention,Other
enq: LO - contention,Other
enq: LP - contention,Other
enq: LQ - contention,Other
enq: LR - contention,Other
enq: LS - contention,Other
enq: LT - contention,Other
enq: LU - contention,Other
enq: LV - contention,Other
enq: LX - contention,Other
enq: LY - contention,Other
enq: LZ - contention,Other
enq: YA - contention,Other
enq: YB - contention,Other
enq: YC - contention,Other
enq: YD - contention,Other
enq: YE - contention,Other
enq: YF - contention,Other
enq: YG - contention,Other
enq: YH - contention,Other
enq: YI - contention,Other
enq: YJ - contention,Other
enq: YK - contention,Other
enq: YL - contention,Other
enq: YM - contention,Other
enq: YN - contention,Other
enq: YO - contention,Other
enq: YP - contention,Other
enq: YQ - contention,Other
enq: YR - contention,Other
enq: YS - contention,Other
enq: YT - contention,Other
enq: YU - contention,Other
enq: YV - contention,Other
enq: YX - contention,Other
enq: YY - contention,Other
enq: YZ - contention,Other
enq: GA - contention,Other
enq: GB - contention,Other
enq: GC - contention,Other
enq: GD - contention,Other
enq: GE - contention,Other
enq: GF - contention,Other
enq: GG - contention,Other
enq: GH - contention,Other
enq: GI - contention,Other
enq: GJ - contention,Other
enq: GK - contention,Other
enq: GL - contention,Other
enq: GM - contention,Other
enq: GN - contention,Other
enq: GO - contention,Other
enq: GP - contention,Other
enq: GQ - contention,Other
enq: GR - contention,Other
enq: GS - contention,Other
enq: GT - contention,Other
enq: GU - contention,Other
enq: GV - contention,Other
enq: GX - contention,Other
enq: GY - contention,Other
enq: GZ - contention,Other
enq: NA - contention,Other
enq: NB - contention,Other
enq: NC - contention,Other
enq: ND - contention,Other
enq: NE - contention,Other
enq: NF - contention,Other
enq: NG - contention,Other
enq: NH - contention,Other
enq: NI - contention,Other
enq: NJ - contention,Other
enq: NK - contention,Other
enq: NL - contention,Other
enq: NM - contention,Other
enq: NN - contention,Other
enq: NO - contention,Other
enq: NP - contention,Other
enq: NQ - contention,Other
enq: NR - contention,Other
enq: NS - contention,Other
enq: NT - contention,Other
enq: NU - contention,Other
enq: NV - contention,Other
enq: NX - contention,Other
enq: NY - contention,Other
enq: NZ - contention,Other
enq: IV - contention,Other
enq: TP - contention,Other
enq: RW - MV metadata contention,Other
enq: OC - contention,Other
enq: OL - contention,Other
kkdlgon,Other
kkdlsipon,Other
kkdlhpon,Other
Remote Tool Request Reply,Other
Remote Tool Request Free List,Other
kgltwait,Other
kksfbc research,Other
kksscl hash split,Other
kksfbc child completion,Other
enq: CU - contention,Other
enq: AE - lock,Other
Revoke: get object,Other
enq: PF - contention,Other
enq: PZ - flush passwordfile metadata,Other
enq: PZ - load passwordfile metadata,Other
enq: IL - contention,Other
enq: CL - drop label,Other
enq: CL - compare labels,Other
enq: SG - OLS Add Group,Other
enq: SG - OLS Create Group,Other
enq: SG - OLS Drop Group,Other
enq: SG - OLS Alter Group Parent,Other
enq: OP - OLS Store user entries,Other
enq: OP - OLS Cleanup unused profiles,Other
move audit tablespace delay,Other
enq: CC - decryption,Other
enq: MK - contention,Other
enq: OW - initialization,Other
enq: OW - termination,Other
enq: RK - set key,Other
enq: RK - queue wallet and TS keys,Other
enq: HC - HSM cache write,Other
enq: HC - HSM cache read,Other
enq: RL - RAC wallet lock,Other
enq: PJ - modify DV policy,Other
enq: PJ - read DV policy,Other
Row cache for Grant or Revoke,Other
enq: ZZ - update hash tables,Other
Failed Logon Delay,Other
enq: ZA - add std audit table partition,Other
enq: ZF - add fga audit table partition,Other
enq: ZS - excl access to spill audit file,Other
enq: UT - transfer audit records,Other
enq: PA - modify a privilege capture,Other
enq: PA - read a privilege capture,Other
enq: PC - update privilege capture info,Other
enq: PC - read privilege capture info,Other
enq: KZ - contention,Other
enq: DX - contention,Other
enq: DR - contention,Other
pending global transaction(s),Other
free global transaction table entry,Other
library cache revalidation,Other
library cache shutdown,Other
BFILE closure,Other
BFILE check if exists,Other
BFILE check if open,Other
BFILE get length,Other
BFILE get name object,Other
BFILE get path object,Other
BFILE open,Other
BFILE internal seek,Other
resmgr:internal state cleanup,Other
xdb schema cache initialization,Other
ASM cluster file access,Other
CSS initialization,Other
CSS group registration,Other
CSS group membership query,Other
CSS operation: data query,Other
CSS operation: data update,Other
CSS Xgrp shared operation,Other
CSS operation: query,Other
CSS operation: action,Other
CSS operation: diagnostic,Other
GIPC operation: dump,Other
GPnP Initialization,Other
GPnP Termination,Other
GPnP Get Item,Other
GPnP Set Item,Other
GPnP Get Error,Other
ADR file lock,Other
ADR block file read,Other
ADR block file write,Other
CRS call completion,Other
ASM: OFS Cluster membership update,Other
dispatcher shutdown,Other
latch: virtual circuit queues,Other
listen endpoint status,Other
listener registration dump,Other
OJVM: Generic,Other
select wait,Other
jobq slave shutdown wait,Other
jobq slave TJ process wait,Other
job scheduler coordinator slave wait,Other
enq: JD - contention,Other
enq: JQ - contention,Other
enq: OD - Serializing DDLs,Other
RAC referential constraint parent lock,Other
RAC: constraint DDL lock,Other
kkshgnc reloop,Other
optimizer stats update retry,Other
wait active processes,Other
SUPLOG PL wait for inflight pragma-d PL/SQL,Other
enq: MD - contention,Other
enq: MS - contention,Other
wait for kkpo ref-partitioning *TEST EVENT*,Other
RAC reference partitioning descendants lock,Other
enq: AP - contention,Other
enq: RH - quarantine,Other
PX slave connection,Other
PX slave release,Other
PX Send Wait,Other
PX qref latch,Other
PX server shutdown,Other
PX create server,Other
PX signal server,Other
PX Deq: Join ACK,Other
PX Deq Credit: free buffer,Other
PX Deq: Test for msg,Other
PX Deq: Test for credit,Other
PX Deq: Signal ACK RSG,Other
PX Deq: Signal ACK EXT,Other
PX Deq: reap credit,Other
PX Nsq: PQ descriptor query,Other
PX Nsq: PQ load info query,Other
PX Deq Credit: Session Stats,Other
PX Deq: Slave Session Stats,Other
PX Deq: Slave Join Frag,Other
enq: PI - contention,Other
enq: PS - contention,Other
enq: DA - Slave Process Array,Other
latch: parallel query alloc buffer,Other
kxfxse,Other
kxfxsp,Other
PX Deq: Table Q qref,Other
PX Deq: Table Q Get Keys,Other
PX Deq: Table Q Close,Other
GV$: slave acquisition retry wait time,Other
PX hash elem being inserted,Other
latch: PX hash array latch,Other
enq: AY - contention,Other
enq: TO - contention,Other
enq: ZP - Private Temporary Table,Other
IMCDT end of scans cleanup,Other
enq: IT - contention,Other
enq: BF - allocation contention,Other
enq: BF - PMON Join Filter cleanup,Other
enq: RD - RAC load,Other
PX key vector flatten,Other
PX hash key vector cell,Other
PX hash key vector merge,Other
PX key vector use load,Other
PX key vector create dgk init,Other
enq: MG - MGA allocation,Other
enq: MG - client shared context allocation,Other
kupp process wait,Other
Kupp process shutdown,Other
Data Pump slave startup,Other
Data Pump slave init,Other
enq: KP - contention,Other
Replication Dequeue,Other
knpc_acwm_AwaitChangedWaterMark,Other
knpc_anq_AwaitNonemptyQueue,Other
knpsmai,Other
enq: SR - contention,Other
enq: RG - Apply coord start/stop,Other
REPL Capture/Apply: database startup,Other
REPL Capture/Apply: miscellaneous,Other
enq: SI - contention,Other
REPL Capture/Apply: RAC inter-instance ack,Other
enq: IA - contention,Other
enq: JI - contention,Other
qerex_gdml,Other
enq: AT - contention,Other
Retry DB Audit Record Insertion Delay,Other
opishd,Other
secure protocol error delay,Other
kpodplck wait before retrying ORA-54,Other
enq: CQ - contention,Other
wait for EMON to spawn,Other
EMON termination,Other
enq: AZ - AQ_SRVNTFN_Q Creation,Other
Emon coordinator startup,Other
enq: SE - contention,Other
tsm with timeout,Other
Streams AQ: waiting for busy instance for instance_name,Other
Streams AQ: index block pin/row lock,Other
enq: TQ - TM contention,Other
enq: TQ - DDL contention,Other
enq: TQ - INI contention,Other
enq: TQ - DDL-INI contention,Other
enq: TQ - INI sq contention,Other
enq: TQ - MC free sync at cross job start,Other
enq: TQ - MC free sync at cross job stop,Other
enq: TQ - MC free sync at cross job end,Other
enq: TQ - MC free sync at export subshard,Other
enq: TQ - create eviction table,Other
enq: TQ - TM Job cache initialization,Other
enq: TQ - TM Job cache use,Other
enq: TQ - sq TM contention,Other
enq: TQ - LB drop volatile shard,Other
AQ reload SO release,Other
enq: RQ - Enqueue commit uncached,Other
enq: RQ - Enqueue commit cached,Other
enq: RQ - Dequeue update scn,Other
enq: RQ - Parallel cross update scn,Other
enq: RQ - Cross update scn,Other
enq: RQ - Trucate subshard,Other
enq: RQ - Cross export subshard,Other
enq: RQ - Cross import subshard,Other
enq: RQ - Free shadow shard,Other
enq: RQ - AQ indexed cached commit,Other
enq: RQ - AQ uncached commit WM update,Other
enq: RQ - AQ uncached dequeue,Other
enq: RQ - AQ Eq Ptn Mapping,Other
enq: RQ - AQ Dq Ptn Mapping,Other
enq: RQ - AQ Trnc mem free,Other
enq: RQ - AQ Trnc mem free remote,Other
enq: RQ - AQ Trnc mem free by LB,Other
enq: RQ - AQ Trnc mem free by CP,Other
enq: RQ - AQ Enq commit incarnation wrap,Other
enq: RQ - AQ Rule evaluation segment load,Other
enq: RQ - AQ Evict: block truncate,Other
enq: RQ - AQ Unevict PGA: setup subscriber,Other
enq: RQ - AQ Unevict PGA: Queue View,Other
enq: RQ - AQ Shid Gen,Other
enq: RQ - AQ Enq commit block truncate,Other
enq: RQ - AQ Cross update scn for delay,Other
enq: RQ - AQ Cross Shard mem free,Other
enq: RQ - AQ rollback retry count update,Other
enq: RQ - AQ cached commit WM update,Other
enq: RQ - AQ cached dequeue by condition,Other
AQ propagation connection,Other
enq: KR - Drop rule force,Other
enq: KR - Add rule to ruleset,Other
enq: KR - Remove rule from ruleset,Other
enq: DP - contention,Other
enq: MH - contention,Other
enq: ML - contention,Other
enq: PH - contention,Other
enq: SF - contention,Other
enq: XH - contention,Other
enq: WA - contention,Other
Streams AQ: QueueTable kgl locks,Other
AQ spill debug idle,Other
AQ master shutdown,Other
AQPC: new master,Other
AQ Background Master: slave start,Other
enq: AQ - QPT fg map dqpt,Other
enq: AQ - QPT fg map qpt,Other
enq: PQ - QPT add qpt,Other
enq: PQ - QPT drop qpt,Other
enq: PQ - QPT add dqpt,Other
enq: PQ - QPT drop dqpt,Other
enq: PQ - QPT add qpt fg,Other
enq: PQ - QPT add dqpt fg,Other
enq: PQ - QPT Trunc,Other
enq: PQ - QPT LB Trunc sync,Other
enq: PQ - QPT XSTART Trunc sync,Other
AQ master: time mgmt/task cleanup,Other
AQ slave: time mgmt/task cleanup,Other
enq: BA - SUBBMAP contention,Other
AQ:non durable subscriber add or drop,Other
AQ: RAC AQ Network,Other
latch: AQ Sharded subscriber statistics latch,Other
AQ OPT Operation Complete,Other
latch: AQ OPT Background Master Latch,Other
enq: CX - TEXT: Index Specific Lock,Other
enq: OT - TEXT: Generic Lock,Other
XDB SGA initialization,Other
enq: XC - XDB Configuration,Other
NFS read delegation outstanding,Other
Data Guard Broker Wait,Other
enq: RF - synch: DG Broker metadata,Other
enq: RF - atomicity,Other
enq: RF - Broker Chief Lock,Other
enq: RF - synchronization: aifo master,Other
enq: RF - new AI,Other
enq: RF - synchronization: critical ai,Other
enq: RF - RF - Database Automatic Disable,Other
enq: RF - FSFO Observer Heartbeat,Other
enq: RF - DG Broker Current File ID,Other
enq: RF - FSFO Primary Shutdown suspended,Other
enq: RF - Broker State Lock,Other
enq: RF - FSFO string buffer,Other
enq: RF - Broker NSV Lock,Other
enq: RF - Broker LSBY FO Lock,Other
PX Deq: OLAP Update Reply,Other
PX Deq: OLAP Update Execute,Other
PX Deq: OLAP Update Close,Other
enq: AW - AW$ table lock,Other
enq: AW - AW state lock,Other
enq: AW - user access for AW,Other
enq: AW - AW generation lock,Other
enq: AG - contention,Other
enq: AO - contention,Other
enq: OQ - xsoqhiAlloc,Other
enq: OQ - xsoqhiFlush,Other
enq: OQ - xsoq*histrecb,Other
enq: OQ - xsoqhiClose,Other
enq: OQ - xsoqhistrecb,Other
enq: IZ - contention,Other
enq: AM - client registration,Other
enq: AM - shutdown,Other
enq: AM - rollback COD reservation,Other
enq: AM - background COD reservation,Other
enq: AM - ASM cache freeze,Other
enq: AM - ASM ACD Relocation,Other
enq: AM - group use,Other
enq: AM - group block,Other
enq: AM - ASM File Destroy,Other
enq: AM - ASM User,Other
enq: AM - ASM Password File Update,Other
enq: AM - ASM Amdu Dump,Other
enq: AM - disk offline,Other
enq: AM - ASM reserved,Other
enq: AM - block repair,Other
enq: AM - ASM disk based alloc/dealloc,Other
enq: AM - ASM file descriptor,Other
enq: AM - ASM file relocation,Other
enq: AM - ASM SR relocation,Other
enq: AM - ASM Grow ACD,Other
enq: AM - ASM DD update SrRloc,Other
enq: AM - ASM file chown,Other
enq: AM - Register with IOServer,Other
enq: AM - ASM metadata replication,Other
enq: AM - SR slice Clear/Mark,Other
enq: AM - Enable Remote ASM,Other
enq: AM - Disable Remote ASM,Other
enq: AM - Credential creation,Other
enq: AM - Credential deletion,Other
enq: AM - ASM file access req,Other
enq: AM - ASM client operation,Other
enq: AM - ASM client check,Other
enq: AM - ASM ATB COD creation,Other
enq: AM - Create default DG key in OCR,Other
enq: AM - ASM Audit file Delete,Other
enq: AM - ASM Audit file Cleanup,Other
enq: AM - ASM VAT migration,Other
enq: AM - Update SR nomark flag,Other
enq: AM - ASM VAL cache,Other
enq: AM - ASM SR Segment Reuse,Other
enq: AM - ASM SR Segment Reuse Lookup,Other
enq: AM - ASM SR Batch Allocation,Other
enq: AM - ASM Sparse Disk IOCTL,Other
enq: AM - ASM VAM Active,Other
enq: AM - ASM Split Mirror File Create,Other
enq: AM - ASM Split Mirror File Delete,Other
enq: AM - ASM Mirror Prepare,Other
enq: AM - ASM Mirror Split,Other
enq: AM - ASM Drop Mirror,Other
enq: AM - ASM PDB Mirror Split,Other
enq: AM - DB Mirror Prepare,Other
enq: AM - DB Drop Mirror Copy,Other
enq: AM - DB Mirror Split,Other
enq: AM - PDB Mirror Split,Other
enq: AM - Create Prepare Child file group,Other
enq: AM - Change file group redundancy,Other
enq: AM - ASM Split Mirror ODM File Crt,Other
enq: AM - ASM Split Mirror ODM File Del,Other
enq: AM - ASMB Startup,Other
enq: AM - ASMB Renew,Other
enq: AM - ASM: group unblock,Other
enq: AM - ASM file create,Other
enq: AM - ASM ATE conversion,Other
enq: AM - ASM resync from ATE,Other
enq: AM - ASM Split Status Write,Other
enq: AM - ASM Split Status Read,Other
enq: AM - ASM Client Assisted Offline,Other
enq: AM - ASM Client Assisted Offline Chk,Other
ASM internal hang test,Other
ASM Instance startup,Other
buffer busy,Other
buffer freelistbusy,Other
buffer rememberlist busy,Other
buffer writeList full,Other
no free buffers,Other
buffer write wait,Other
buffer invalidation wait,Other
buffer dirty disabled,Other
ASM metadata cache frozen,Other
enq: FZ - contention,Other
enq: CM - gate,Other
enq: CM - instance,Other
enq: CM - diskgroup dismount,Other
enq: XQ - recovery,Other
enq: XQ - relocation,Other
enq: XQ - purification,Other
enq: AD - allocate AU,Other
enq: AD - deallocate AU,Other
enq: AD - relocate AU,Other
enq: AD - flush writes to AU,Other
enq: DO - disk online,Other
enq: DO - disk online recovery,Other
enq: DO - Staleness Registry create,Other
enq: DO - startup of MARK process,Other
extent map load/unlock,Other
extent map locked,Other
enq: XL - fault extent map,Other
Sync ASM rebalance,Other
Sync ASM discovery,Other
File Directory Use,Other
enq: DG - contention,Other
enq: DD - contention,Other
enq: HD - contention,Other
enq: DQ - contention,Other
ASM ioctl to dematerialize blocks,Other
enq: DN - contention,Other
Cluster stabilization wait,Other
Cluster Suspension wait,Other
ASMB cookie valid check,Other
ASM background starting,Other
CSS cookie check,Other
ASM db client exists,Other
ASM file metadata operation,Other
ASM network foreground exits,Other
ASM check disk slices,Other
enq: XB - contention,Other
enq: FA - access file,Other
enq: RX - relocate extent,Other
enq: RX - unlock extent,Other
enq: AR - contention,Other
enq: AH - contention,Other
log write(odd),Other
log write(even),Other
checkpoint advanced,Other
enq: FR - contention,Other
enq: FR - use the thread,Other
enq: FR - recover the thread,Other
enq: FG - serialize ACD relocate,Other
enq: FG - FG redo generation enq race,Other
enq: FG - LGWR redo generation enq race,Other
enq: FT - allow LGWR writes,Other
enq: FT - disable LGWR writes,Other
enq: FC - open an ACD thread,Other
enq: FC - recover an ACD thread,Other
enq: FX - issue ACD Xtnt Relocation CIC,Other
rollback operations block full,Other
rollback operations active,Other
enq: RB - contention,Other
ASM: MARK subscribe to msg channel,Other
ASM: Send msg to MARK,Other
IOS client reconnect to dif IOS,Other
enq: II - contention,Other
enq: IK - contention,Other
IOS worker process startup,Other
IOS worker process exit,Other
call,Other
enq: IC - IOServer clientID,Other
enq: IF - file open,Other
enq: IF - file close,Other
enq: PT - contention,Other
enq: PT - ASM Storage May Split,Other
enq: PM - contention,Other
ASM concurrent diskgroup dismount,Other
ASM PST operation,Other
global cache busy,Other
lock release pending,Other
dma prepare busy,Other
GCS lock cancel,Other
GCS lock open S,Other
GCS lock open X,Other
GCS lock open,Other
GCS lock cvt S,Other
GCS lock cvt X,Other
GCS lock esc X,Other
GCS lock esc,Other
GCS recovery lock open,Other
GCS recovery lock convert,Other
kfcl: instance recovery,Other
no free locks,Other
lock close,Other
enq: KE - contention,Other
enq: KQ - access ASM attribute,Other
ASM Volume Background,Other
ASM volume directive send,Other
ASM Volume Resource Action,Other
enq: AV - persistent DG number,Other
enq: AV - volume relocate,Other
enq: AV - AVD client registration,Other
enq: AV - add/enable first volume in DG,Other
ASM Scrubbing I/O,Other
ASM Async Scrub,Other
ASM Scrub Stop,Other
ASM Scrub Running,Other
ASM: VAM activation,Other
DB Split Delay,Other
enq: WF - contention,Other
enq: WT - contention,Other
enq: WP - contention,Other
enq: FU - contention,Other
enq: UF - undo stat flush per PDB,Other
enq: WI - AWR import,Other
enq: WE - AWR auto-export,Other
enq: WD - AWR mail package retrieval,Other
AWR Flush,Other
AWR Metric Capture,Other
enq: TB - SQL Tuning Base Cache Update,Other
enq: TB - SQL Tuning Base Cache Load,Other
enq: SH - contention,Other
enq: AF - task serialization,Other
MMON slave messages,Other
MMON (Lite) shutdown,Other
enq: MO - contention,Other
enq: MM - MMON Autotask scheduling,Other
enq: TL - contention,Other
enq: TH - metric threshold evaluation,Other
enq: TK - Auto Task Serialization,Other
enq: TK - Auto Task Slave Lockout,Other
enq: RR - contention,Other
WCR: RAC message context busy,Other
WCR: capture file IO write,Other
WCR: Sync context busy,Other
latch: WCR: sync,Other
latch: WCR: processes HT,Other
enq: RA - RT ADDM flood control,Other
enq: MW - contention,Other
enq: TU - UMF topology,Other
SPA slave messages,Other
enq: JS - job run lock - synchronize,Other
enq: JS - job recov lock,Other
enq: JS - wdw op,Other
enq: JS - evt notify,Other
enq: JS - aq sync,Other
enq: JG - queue lock,Other
enq: JG - q mem clnup lck,Other
enq: JG - contention,Other
enq: JG - sch locl enqs,Other
enq: JG - evt notify,Other
enq: JG - evtsub add,Other
enq: JG - evtsub drop,Other
enq: AU - ADR Purge Operation,Other
enq: XD - ASM disk drop/add,Other
enq: XD - ASM disk ONLINE,Other
enq: XD - ASM disk OFFLINE,Other
cell worker online completion,Other
cell worker retry,Other
cell manager cancel work request,Other
cell manager: CRS DG unmounted list,Other
cell manager: CRS DG start,Other
opening cell offload device,Other
ioctl to cell offload device,Other
reap block level offload operations,Other
enq: SN - PDB SGA allocation,Other
enq: SN - PDB SGA free,Other
enq: SN - PDB SGA protection,Other
CDB: Per Instance Query for PDB Info,Other
PDB relocate completion,Other
enq: PB - PDB Lock,Other
chunk move metadata prefetch,Other
secondary event,Other
LogMiner builder: memory,Queueing
LogMiner builder: DDL,Queueing
LogMiner preparer: memory,Queueing
LogMiner reader: buffer,Queueing
Streams AQ: enqueue blocked due to flow control,Queueing
REPL Capture/Apply: memory,Queueing
REPL Capture/Apply: flow control,Queueing
Streams AQ: enqueue blocked on low memory,Queueing
REPL Capture: subscribers to catch up,Queueing
resmgr:become active,Scheduler
resmgr: I/O rate limit,Scheduler
resmgr:large I/O queued,Scheduler
resmgr:cpu quantum,Scheduler
resmgr:pq queued,Scheduler
resmgr: redo throttle,Scheduler
PX Queuing: statement queue,Scheduler
enq: JX - cleanup of queue,Scheduler
enq: JX - SQL statement queue,Scheduler
acknowledge over PGA limit,Scheduler
Standby redo I/O,System I/O
Network file transfer,System I/O
File Repopulation Write,System I/O
PBR logfile IO,System I/O
PBR logfile block write,System I/O
control file sequential read,System I/O
control file single write,System I/O
control file parallel write,System I/O
recovery read,System I/O
RFS sequential i/o,System I/O
RFS random i/o,System I/O
RFS write,System I/O
log file sequential read,System I/O
log file single write,System I/O
log file parallel write,System I/O
log file pmem persist write,System I/O
log file pmem persist read,System I/O
db file parallel write,System I/O
db file async I/O submit,System I/O
flashback log file write,System I/O
flashback log file read,System I/O
cell smart incremental backup,System I/O
cell smart restore from backup,System I/O
ASM sync relocation I/O,System I/O
ASM async relocation I/O,System I/O
kfk: async disk IO,System I/O
iowp io,System I/O
cell manager opening cell,System I/O
cell manager closing cell,System I/O
RMAN lost write reread,System I/O
RMAN backup & recovery I/O,System I/O
Log archive I/O,System I/O
Clonedb bitmap file write,System I/O
Archiver slave I/O,System I/O
LGWR slave I/O,System I/O
DBWR slave I/O,System I/O
RMAN Tape slave I/O,System I/O
RMAN Disk slave I/O,System I/O
cell manager discovering disks,System I/O
io done,System I/O
Parameter File I/O,User I/O
cell list of blocks read request,User I/O
Disk file I/O Calibration,User I/O
Disk file Mirror Read,User I/O
Disk file Mirror/Media Repair Write,User I/O
direct path sync,User I/O
Datapump dump file I/O,User I/O
dbms_file_transfer I/O,User I/O
DG Broker configuration file I/O,User I/O
Data file init write,User I/O
Log file init write,User I/O
Pluggable Database file copy,User I/O
File Copy,User I/O
Shared IO Pool IO Completion,User I/O
local write wait,User I/O
buffer read retry,User I/O
read by other session,User I/O
db flash cache single block physical read,User I/O
db flash cache multiblock physical read,User I/O
db flash cache write,User I/O
db file sequential read,User I/O
db file scattered read,User I/O
db file single write,User I/O
db file parallel read,User I/O
direct path read,User I/O
direct path read temp,User I/O
direct path write,User I/O
direct path write temp,User I/O
flashback log file sync,User I/O
cell smart table scan,User I/O
cell smart index scan,User I/O
cell external table smart scan,User I/O
cell statistics gather,User I/O
cell smart file creation,User I/O
