NAME,WAIT_CLASS
enq: HV - contention,Concurrency
SecureFile mutex,Concurrency
enq: WG - lock fso,Concurrency
Inmemory Populate: get loadscn,Concurrency
latch: row cache objects,Concurrency
row cache mutex,Concurrency
row cache lock,Concurrency
free buffer waits,Configuration
memoptimize write buffer get,Configuration
write complete waits,Configuration
write complete waits: flash cache,Configuration
latch: redo writing,Configuration
latch: redo copy,Configuration
log buffer space,Configuration
log file switch (checkpoint incomplete),Configuration
log file switch (private strand flush incomplete),Configuration
log file switch (archiving needed),Configuration
log file switch completion,Configuration
Global transaction acquire instance locks,Configuration
REPL Apply: commit,Configuration
wait for EMON to process ntfns,Configuration
flashback buf free by RVWR,Configuration
nologging range consumption list,Configuration
enq: ST - contention,Configuration
undo segment extension,Configuration
undo segment tx slot,Configuration
enq: TX - allocate ITL entry,Configuration
statement suspended wait error to be cleared,Configuration
SecureFile log buffer,Configuration
enq: HW - contention,Configuration
enq: SS - contention,Configuration
sort segment request,Configuration
enq: SQ - contention,Configuration
enq: SV - contention,Configuration
checkpoint completed,Configuration
ASM background timer,Idle
ASM cluster membership changes,Idle
iowp msg,Idle
iowp file id,Idle
netp network,Idle
gopp msg,Idle
auto-sqltune: wait graph update,Idle
WCR: replay client notify,Idle
WCR: replay clock,Idle
WCR: replay paused,Idle
JS external job,Idle
cell worker idle,Idle
recovery receiver idle,Idle
recovery coordinator idle,Idle
recovery logmerger idle,Idle
block compare coord process idle,Idle
PX Deq: Txn Recovery Start,Idle
PX Deq: Txn Recovery Reply,Idle
fbar timer,Idle
smon timer,Idle
PX Deq: Metadata Update,Idle
Space Manager: slave idle wait,Idle
PX Deq: Index Merge Reply,Idle
PX Deq: Index Merge Execute,Idle
PX Deq: Index Merge Close,Idle
PX Deq: kdcph_mai,Idle
PX Deq: kdcphc_ack,Idle
imco timer,Idle
IMFS defer writes scheduler,Idle
memoptimize write drain idle,Idle
virtual circuit next request,Idle
shared server idle wait,Idle
dispatcher timer,Idle
cmon timer,Idle
pool server timer,Idle
lreg timer,Idle
JOX Jit Process Sleep,Idle
jobq slave wait,Idle
pipe get,Idle
PX Deque wait,Idle
PX Idle Wait,Idle
PX Deq Credit: need buffer,Idle
PX Deq Credit: send blkd,Idle
PX Deq: Msg Fragment,Idle
PX Deq: Parse Reply,Idle
PX Deq: Execute Reply,Idle
PX Deq: Execution Msg,Idle
PX Deq: Table Q Normal,Idle
PX Deq: Table Q Sample,Idle
REPL Apply: txns,Idle
REPL Capture/Apply: messages,Idle
REPL Capture: archive log,Idle
single-task message,Idle
SQL*Net message from client,Idle
SQL*Net vector message from client,Idle
SQL*Net vector message from dblink,Idle
PL/SQL lock timer,Idle
Streams AQ: emn coordinator idle wait,Idle
EMON slave idle wait,Idle
Emon coordinator main loop,Idle
Emon slave main loop,Idle
Streams AQ: waiting for messages in the queue,Idle
Streams AQ: waiting for time management or cleanup tasks,Idle
Streams AQ: delete acknowledged messages,Idle
Streams AQ: deallocate messages from Streams Pool,Idle
Streams AQ: qmn coordinator idle wait,Idle
