[2026-07-10 11:54:32] INFO     | sar_cpu_parser |   [13] '00:10:01         10     47.58      0.00      9.66      4.43      0.61      2.07      9.63      0.00      0.00     26.02'
[2026-07-10 11:54:32] INFO     | sar_cpu_parser |   [14] '00:10:01         11     26.72      0.00     10.17      6.21      0.67      1.97     10.39      0.00      0.00     43.88'
[2026-07-10 11:54:32] INFO     | sar_cpu_parser |   [15] '00:10:01         12     42.43      0.00      7.35      6.36      0.29      2.68      0.17      0.00      0.00     40.71'
[2026-07-10 11:54:32] INFO     | sar_cpu_parser |   [16] '00:10:01         13     55.88      0.00      7.97      5.97      0.35      2.65      0.70      0.00      0.00     26.48'
[2026-07-10 11:54:32] INFO     | sar_cpu_parser |   [17] '00:10:01         14     37.91      0.00      8.93      8.00      0.96      3.09      0.94      0.00      0.00     40.16'
[2026-07-10 11:54:32] INFO     | sar_cpu_parser |   [18] '00:10:01         15     36.95      0.00      7.32      6.24      0.38      3.90      0.17      0.00      0.00     45.05'
[2026-07-10 11:54:32] INFO     | sar_cpu_parser |   [19] '00:10:01         16     48.42      0.00      6.67      5.40      0.26      2.63      0.25      0.00      0.00     36.38'
[2026-07-10 11:54:32] INFO     | sar_cpu_parser |   CPU header detected: ['CPU', '%usr', '%nice', '%sys', '%iowait', '%steal', '%irq', '%soft', '%guest', '%gnice', '%idle']
[2026-07-10 11:54:32] INFO     | sar_cpu_parser |   CPU header detected: ['CPU', '%usr', '%nice', '%sys', '%iowait', '%steal', '%irq', '%soft', '%guest', '%gnice', '%idle']
[2026-07-10 11:54:32] INFO     | sar_cpu_parser |   CPU header detected: ['CPU', '%usr', '%nice', '%sys', '%iowait', '%steal', '%irq', '%soft', '%guest', '%gnice', '%idle']
[2026-07-10 11:54:32] INFO     | sar_cpu_parser |   CPU header detected: ['CPU', '%usr', '%nice', '%sys', '%iowait', '%steal', '%irq', '%soft', '%guest', '%gnice', '%idle']
[2026-07-10 11:54:32] INFO     | sar_cpu_parser |   CPU header detected: ['CPU', '%usr', '%nice', '%sys', '%iowait', '%steal', '%irq', '%soft', '%guest', '%gnice', '%idle']
[2026-07-10 11:54:32] INFO     | sar_cpu_parser |   CPU header detected: ['CPU', '%usr', '%nice', '%sys', '%iowait', '%steal', '%irq', '%soft', '%guest', '%gnice', '%idle']
[2026-07-10 11:54:32] INFO     | sar_cpu_parser |   CPU header detected: ['CPU', '%usr', '%nice', '%sys', '%iowait', '%steal', '%irq', '%soft', '%guest', '%gnice', '%idle']
[2026-07-10 11:54:32] INFO     | sar_cpu_parser |   CPU header detected: ['CPU', '%usr', '%nice', '%sys', '%iowait', '%steal', '%irq', '%soft', '%guest', '%gnice', '%idle']
[2026-07-10 11:54:32] INFO     | sar_cpu_parser |   CPU header detected: ['CPU', '%usr', '%nice', '%sys', '%iowait', '%steal', '%irq', '%soft', '%guest', '%gnice', '%idle']
[2026-07-10 11:54:32] INFO     | sar_cpu_parser |   CPU header detected: ['CPU', '%usr', '%nice', '%sys', '%iowait', '%steal', '%irq', '%soft', '%guest', '%gnice', '%idle']
