[2026-07-10 11:58:19] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 2 rows into awr_seg_direct_phy_reads
[2026-07-10 11:58:30] INFO     | awr_seg_direct_phy_reads_parser | Found 4 rows in Segments by Direct Physical Reads section
[2026-07-10 11:58:30] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 4 Segments by Direct Physical Reads records
[2026-07-10 11:58:30] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 4 rows into awr_seg_direct_phy_reads
[2026-07-10 11:59:06] INFO     | awr_seg_direct_phy_reads_parser | Found 2 rows in Segments by Direct Physical Reads section
[2026-07-10 11:59:06] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 2 Segments by Direct Physical Reads records
[2026-07-10 11:59:06] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 2 rows into awr_seg_direct_phy_reads
[2026-07-10 11:59:07] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 11:59:07] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 11:59:08] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 11:59:44] INFO     | awr_seg_direct_phy_reads_parser | Found 4 rows in Segments by Direct Physical Reads section
[2026-07-10 11:59:44] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 4 Segments by Direct Physical Reads records
[2026-07-10 11:59:44] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 4 rows into awr_seg_direct_phy_reads
[2026-07-10 11:59:54] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 11:59:54] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 11:59:54] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 12:00:20] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 12:00:20] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 12:00:20] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 12:00:45] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 12:00:45] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 12:00:45] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 12:00:52] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 12:00:52] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 12:00:52] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 12:01:27] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 12:01:27] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 12:01:27] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 12:01:36] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 12:01:36] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 12:01:36] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
[2026-07-10 12:01:59] INFO     | awr_seg_direct_phy_reads_parser | Found 5 rows in Segments by Direct Physical Reads section
[2026-07-10 12:01:59] INFO     | awr_seg_direct_phy_reads_parser | ✅ Parsed 5 Segments by Direct Physical Reads records
[2026-07-10 12:01:59] INFO     | awr_seg_direct_phy_reads_parser | ✅ Inserted 5 rows into awr_seg_direct_phy_reads
