[2026-07-10 12:03:03] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 7 IOStat by Function summary records.
[2026-07-10 12:03:03] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 7 rows into awr_iostat_function
[2026-07-10 12:03:28] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 6 IOStat by Function summary records.
[2026-07-10 12:03:28] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 6 rows into awr_iostat_function
[2026-07-10 12:03:52] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 7 IOStat by Function summary records.
[2026-07-10 12:03:52] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 7 rows into awr_iostat_function
[2026-07-10 12:03:57] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 8 IOStat by Function summary records.
[2026-07-10 12:03:57] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 8 rows into awr_iostat_function
[2026-07-10 12:04:38] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 6 IOStat by Function summary records.
[2026-07-10 12:04:38] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 6 rows into awr_iostat_function
[2026-07-10 12:04:40] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 7 IOStat by Function summary records.
[2026-07-10 12:04:40] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 7 rows into awr_iostat_function
[2026-07-10 12:05:09] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 8 IOStat by Function summary records.
[2026-07-10 12:05:09] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 8 rows into awr_iostat_function
[2026-07-10 12:05:36] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 9 IOStat by Function summary records.
[2026-07-10 12:05:36] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 9 rows into awr_iostat_function
[2026-07-10 12:05:51] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 6 IOStat by Function summary records.
[2026-07-10 12:05:51] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 6 rows into awr_iostat_function
[2026-07-10 12:06:22] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 8 IOStat by Function summary records.
[2026-07-10 12:06:22] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 8 rows into awr_iostat_function
[2026-07-10 12:06:31] INFO     | io_stat_by_function_summary_parser | ✅ Parsed 9 IOStat by Function summary records.
[2026-07-10 12:06:31] INFO     | io_stat_by_function_summary_parser | ✅ Inserted 9 rows into awr_iostat_function
