[2026-07-10 12:01:39] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 23 IOStat by Function/Filetype summary records.
[2026-07-10 12:01:39] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 23 rows into awr_iostat_func_filetype
[2026-07-10 12:02:13] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 18 IOStat by Function/Filetype summary records.
[2026-07-10 12:02:13] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 18 rows into awr_iostat_func_filetype
[2026-07-10 12:02:16] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 16 IOStat by Function/Filetype summary records.
[2026-07-10 12:02:16] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 16 rows into awr_iostat_func_filetype
[2026-07-10 12:02:46] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 23 IOStat by Function/Filetype summary records.
[2026-07-10 12:02:46] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 23 rows into awr_iostat_func_filetype
[2026-07-10 12:03:01] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 18 IOStat by Function/Filetype summary records.
[2026-07-10 12:03:01] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 18 rows into awr_iostat_func_filetype
[2026-07-10 12:03:25] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 16 IOStat by Function/Filetype summary records.
[2026-07-10 12:03:25] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 16 rows into awr_iostat_func_filetype
[2026-07-10 12:03:50] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 18 IOStat by Function/Filetype summary records.
[2026-07-10 12:03:50] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 18 rows into awr_iostat_func_filetype
[2026-07-10 12:03:54] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 23 IOStat by Function/Filetype summary records.
[2026-07-10 12:03:54] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 23 rows into awr_iostat_func_filetype
[2026-07-10 12:04:36] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 16 IOStat by Function/Filetype summary records.
[2026-07-10 12:04:36] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 16 rows into awr_iostat_func_filetype
[2026-07-10 12:04:38] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 18 IOStat by Function/Filetype summary records.
[2026-07-10 12:04:38] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 18 rows into awr_iostat_func_filetype
[2026-07-10 12:05:06] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 23 IOStat by Function/Filetype summary records.
[2026-07-10 12:05:06] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 23 rows into awr_iostat_func_filetype
[2026-07-10 12:05:34] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 25 IOStat by Function/Filetype summary records.
[2026-07-10 12:05:34] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 25 rows into awr_iostat_func_filetype
[2026-07-10 12:05:49] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 16 IOStat by Function/Filetype summary records.
[2026-07-10 12:05:49] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 16 rows into awr_iostat_func_filetype
[2026-07-10 12:06:19] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 23 IOStat by Function/Filetype summary records.
[2026-07-10 12:06:19] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 23 rows into awr_iostat_func_filetype
[2026-07-10 12:06:29] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 25 IOStat by Function/Filetype summary records.
[2026-07-10 12:06:29] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 25 rows into awr_iostat_func_filetype
[2026-07-10 12:07:00] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 16 IOStat by Function/Filetype summary records.
[2026-07-10 12:07:00] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 16 rows into awr_iostat_func_filetype
[2026-07-10 12:07:22] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 25 IOStat by Function/Filetype summary records.
[2026-07-10 12:07:22] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 25 rows into awr_iostat_func_filetype
[2026-07-10 12:07:30] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 23 IOStat by Function/Filetype summary records.
[2026-07-10 12:07:30] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 23 rows into awr_iostat_func_filetype
[2026-07-10 12:08:08] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 16 IOStat by Function/Filetype summary records.
[2026-07-10 12:08:08] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 16 rows into awr_iostat_func_filetype
[2026-07-10 12:08:42] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 23 IOStat by Function/Filetype summary records.
[2026-07-10 12:08:42] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 23 rows into awr_iostat_func_filetype
[2026-07-10 12:09:18] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 16 IOStat by Function/Filetype summary records.
[2026-07-10 12:09:18] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 16 rows into awr_iostat_func_filetype
[2026-07-10 12:09:52] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 23 IOStat by Function/Filetype summary records.
[2026-07-10 12:09:52] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 23 rows into awr_iostat_func_filetype
[2026-07-10 12:10:28] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 16 IOStat by Function/Filetype summary records.
[2026-07-10 12:10:28] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 16 rows into awr_iostat_func_filetype
[2026-07-10 12:10:33] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 23 IOStat by Function/Filetype summary records.
[2026-07-10 12:10:33] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 23 rows into awr_iostat_func_filetype
[2026-07-10 12:11:07] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 23 IOStat by Function/Filetype summary records.
[2026-07-10 12:11:07] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Inserted 23 rows into awr_iostat_func_filetype
[2026-07-10 12:11:31] INFO     | io_stat_by_func_filetype_summary_parser | ✅ Parsed 23 IOStat by Function/Filetype summary records.
