[2026-07-10 12:03:35] INFO     | background_wait_events_parser | ✅ Parsed 58 Background Wait Event records.
[2026-07-10 12:03:35] INFO     | background_wait_events_parser | ✅ Inserted 58 rows into awr_background_wait_events
[2026-07-10 12:04:14] INFO     | background_wait_events_parser | ✅ Parsed 43 Background Wait Event records.
[2026-07-10 12:04:14] INFO     | background_wait_events_parser | ✅ Inserted 43 rows into awr_background_wait_events
[2026-07-10 12:04:23] INFO     | background_wait_events_parser | ✅ Parsed 58 Background Wait Event records.
[2026-07-10 12:04:23] INFO     | background_wait_events_parser | ✅ Inserted 58 rows into awr_background_wait_events
[2026-07-10 12:04:44] INFO     | background_wait_events_parser | ✅ Parsed 130 Background Wait Event records.
[2026-07-10 12:04:44] INFO     | background_wait_events_parser | ✅ Inserted 130 rows into awr_background_wait_events
[2026-07-10 12:05:17] INFO     | background_wait_events_parser | ✅ Parsed 80 Background Wait Event records.
[2026-07-10 12:05:17] INFO     | background_wait_events_parser | ✅ Inserted 80 rows into awr_background_wait_events
[2026-07-10 12:05:27] INFO     | background_wait_events_parser | ✅ Parsed 43 Background Wait Event records.
[2026-07-10 12:05:27] INFO     | background_wait_events_parser | ✅ Inserted 43 rows into awr_background_wait_events
[2026-07-10 12:05:57] INFO     | background_wait_events_parser | ✅ Parsed 130 Background Wait Event records.
[2026-07-10 12:05:57] INFO     | background_wait_events_parser | ✅ Inserted 130 rows into awr_background_wait_events
[2026-07-10 12:06:12] INFO     | background_wait_events_parser | ✅ Parsed 80 Background Wait Event records.
[2026-07-10 12:06:12] INFO     | background_wait_events_parser | ✅ Inserted 80 rows into awr_background_wait_events
[2026-07-10 12:06:38] INFO     | background_wait_events_parser | ✅ Parsed 43 Background Wait Event records.
[2026-07-10 12:06:38] INFO     | background_wait_events_parser | ✅ Inserted 43 rows into awr_background_wait_events
[2026-07-10 12:07:07] INFO     | background_wait_events_parser | ✅ Parsed 80 Background Wait Event records.
[2026-07-10 12:07:07] INFO     | background_wait_events_parser | ✅ Inserted 80 rows into awr_background_wait_events
[2026-07-10 12:07:09] INFO     | background_wait_events_parser | ✅ Parsed 130 Background Wait Event records.
[2026-07-10 12:07:09] INFO     | background_wait_events_parser | ✅ Inserted 130 rows into awr_background_wait_events
[2026-07-10 12:07:46] INFO     | background_wait_events_parser | ✅ Parsed 44 Background Wait Event records.
[2026-07-10 12:07:46] INFO     | background_wait_events_parser | ✅ Inserted 44 rows into awr_background_wait_events
[2026-07-10 12:08:19] INFO     | background_wait_events_parser | ✅ Parsed 129 Background Wait Event records.
[2026-07-10 12:08:19] INFO     | background_wait_events_parser | ✅ Inserted 129 rows into awr_background_wait_events
[2026-07-10 12:08:56] INFO     | background_wait_events_parser | ✅ Parsed 44 Background Wait Event records.
[2026-07-10 12:08:56] INFO     | background_wait_events_parser | ✅ Inserted 44 rows into awr_background_wait_events
[2026-07-10 12:09:30] INFO     | background_wait_events_parser | ✅ Parsed 129 Background Wait Event records.
[2026-07-10 12:09:31] INFO     | background_wait_events_parser | ✅ Inserted 129 rows into awr_background_wait_events
[2026-07-10 12:10:05] INFO     | background_wait_events_parser | ✅ Parsed 44 Background Wait Event records.
[2026-07-10 12:10:05] INFO     | background_wait_events_parser | ✅ Inserted 44 rows into awr_background_wait_events
[2026-07-10 12:10:16] INFO     | background_wait_events_parser | ✅ Parsed 78 Background Wait Event records.
[2026-07-10 12:10:16] INFO     | background_wait_events_parser | ✅ Inserted 78 rows into awr_background_wait_events
[2026-07-10 12:10:42] INFO     | background_wait_events_parser | ✅ Parsed 129 Background Wait Event records.
[2026-07-10 12:10:42] INFO     | background_wait_events_parser | ✅ Inserted 129 rows into awr_background_wait_events
[2026-07-10 12:11:14] INFO     | background_wait_events_parser | ✅ Parsed 78 Background Wait Event records.
[2026-07-10 12:11:14] INFO     | background_wait_events_parser | ✅ Inserted 78 rows into awr_background_wait_events
[2026-07-10 12:11:21] INFO     | background_wait_events_parser | ✅ Parsed 44 Background Wait Event records.
[2026-07-10 12:11:21] INFO     | background_wait_events_parser | ✅ Inserted 44 rows into awr_background_wait_events
[2026-07-10 12:11:56] INFO     | background_wait_events_parser | ✅ Parsed 133 Background Wait Event records.
[2026-07-10 12:11:56] INFO     | background_wait_events_parser | ✅ Inserted 133 rows into awr_background_wait_events
[2026-07-10 12:12:08] INFO     | background_wait_events_parser | ✅ Parsed 78 Background Wait Event records.
[2026-07-10 12:12:08] INFO     | background_wait_events_parser | ✅ Inserted 78 rows into awr_background_wait_events
[2026-07-10 12:12:31] INFO     | background_wait_events_parser | ✅ Parsed 44 Background Wait Event records.
[2026-07-10 12:12:31] INFO     | background_wait_events_parser | ✅ Inserted 44 rows into awr_background_wait_events
[2026-07-10 12:13:01] INFO     | background_wait_events_parser | ✅ Parsed 65 Background Wait Event records.
[2026-07-10 12:13:01] INFO     | background_wait_events_parser | ✅ Inserted 65 rows into awr_background_wait_events
[2026-07-10 12:13:08] INFO     | background_wait_events_parser | ✅ Parsed 133 Background Wait Event records.
[2026-07-10 12:13:08] INFO     | background_wait_events_parser | ✅ Inserted 133 rows into awr_background_wait_events
[2026-07-10 12:13:42] INFO     | background_wait_events_parser | ✅ Parsed 44 Background Wait Event records.
[2026-07-10 12:13:42] INFO     | background_wait_events_parser | ✅ Inserted 44 rows into awr_background_wait_events
