[2026-07-10 11:59:42] INFO     | enqueue_wait_statistics_parser | Found 48 rows in Enqueue Activity section
[2026-07-10 11:59:42] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 48 Enqueue Activity records
[2026-07-10 11:59:42] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 48 rows into awr_enqueue_statistics
[2026-07-10 12:00:19] INFO     | enqueue_wait_statistics_parser | Found 69 rows in Enqueue Activity section
[2026-07-10 12:00:19] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 69 Enqueue Activity records
[2026-07-10 12:00:19] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 69 rows into awr_enqueue_statistics
[2026-07-10 12:00:19] INFO     | enqueue_wait_statistics_parser | Found 57 rows in Enqueue Activity section
[2026-07-10 12:00:19] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 57 Enqueue Activity records
[2026-07-10 12:00:19] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 57 rows into awr_enqueue_statistics
[2026-07-10 12:00:51] INFO     | enqueue_wait_statistics_parser | Found 40 rows in Enqueue Activity section
[2026-07-10 12:00:51] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 40 Enqueue Activity records
[2026-07-10 12:00:51] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 40 rows into awr_enqueue_statistics
[2026-07-10 12:01:10] INFO     | enqueue_wait_statistics_parser | Found 57 rows in Enqueue Activity section
[2026-07-10 12:01:10] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 57 Enqueue Activity records
[2026-07-10 12:01:10] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 57 rows into awr_enqueue_statistics
[2026-07-10 12:01:24] INFO     | enqueue_wait_statistics_parser | Found 59 rows in Enqueue Activity section
[2026-07-10 12:01:24] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 59 Enqueue Activity records
[2026-07-10 12:01:24] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 59 rows into awr_enqueue_statistics
[2026-07-10 12:02:01] INFO     | enqueue_wait_statistics_parser | Found 40 rows in Enqueue Activity section
[2026-07-10 12:02:01] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 40 Enqueue Activity records
[2026-07-10 12:02:01] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 40 rows into awr_enqueue_statistics
[2026-07-10 12:02:01] INFO     | enqueue_wait_statistics_parser | Found 57 rows in Enqueue Activity section
[2026-07-10 12:02:01] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 57 Enqueue Activity records
[2026-07-10 12:02:01] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 57 rows into awr_enqueue_statistics
[2026-07-10 12:02:31] INFO     | enqueue_wait_statistics_parser | Found 59 rows in Enqueue Activity section
[2026-07-10 12:02:31] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 59 Enqueue Activity records
[2026-07-10 12:02:31] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 59 rows into awr_enqueue_statistics
[2026-07-10 12:02:51] INFO     | enqueue_wait_statistics_parser | Found 45 rows in Enqueue Activity section
[2026-07-10 12:02:51] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 45 Enqueue Activity records
[2026-07-10 12:02:51] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 45 rows into awr_enqueue_statistics
[2026-07-10 12:03:10] INFO     | enqueue_wait_statistics_parser | Found 40 rows in Enqueue Activity section
[2026-07-10 12:03:10] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 40 Enqueue Activity records
[2026-07-10 12:03:10] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 40 rows into awr_enqueue_statistics
[2026-07-10 12:03:39] INFO     | enqueue_wait_statistics_parser | Found 45 rows in Enqueue Activity section
[2026-07-10 12:03:39] INFO     | enqueue_wait_statistics_parser | ✅ Parsed 45 Enqueue Activity records
[2026-07-10 12:03:39] INFO     | enqueue_wait_statistics_parser | ✅ Inserted 45 rows into awr_enqueue_statistics
