[2026-06-26 16:35:57] INFO     | sar_watcher |   Converted \u2192 TCLFSLPRDDB1_sa15_20260626163549.txt (2,338,339 bytes)
[2026-06-26 16:35:57] INFO     | sar_watcher | \U0001f4dd Queued [binary_converted]: TCLFSLPRDDB1_sa15_20260626163549.txt \u2192 TCLFSLPRDDB1
[2026-06-26 16:35:57] INFO     | sar_watcher | Converting binary SAR via WSL: sa16
[2026-06-26 16:36:04] INFO     | sar_watcher |   Converted \u2192 TCLFSLPRDDB1_sa16_20260626163557.txt (2,338,409 bytes)
[2026-06-26 16:36:04] INFO     | sar_watcher | \U0001f4dd Queued [binary_converted]: TCLFSLPRDDB1_sa16_20260626163557.txt \u2192 TCLFSLPRDDB1
[2026-06-26 16:36:04] INFO     | sar_watcher | Converting binary SAR via WSL: sa17
[2026-06-26 16:36:12] INFO     | sar_watcher |   Converted \u2192 TCLFSLPRDDB1_sa17_20260626163604.txt (2,338,444 bytes)
[2026-06-26 16:36:12] INFO     | sar_watcher | \U0001f4dd Queued [binary_converted]: TCLFSLPRDDB1_sa17_20260626163604.txt \u2192 TCLFSLPRDDB1
[2026-06-26 16:36:12] INFO     | sar_watcher | Converting binary SAR via WSL: sa18
[2026-06-26 16:36:21] INFO     | sar_watcher |   Converted \u2192 TCLFSLPRDDB1_sa18_20260626163612.txt (2,338,391 bytes)
[2026-06-26 16:36:21] INFO     | sar_watcher | \U0001f4dd Queued [binary_converted]: TCLFSLPRDDB1_sa18_20260626163612.txt \u2192 TCLFSLPRDDB1
[2026-06-26 16:36:21] INFO     | sar_watcher | Converting binary SAR via WSL: sa19
[2026-06-26 16:36:29] INFO     | sar_watcher |   Converted \u2192 TCLFSLPRDDB1_sa19_20260626163621.txt (2,338,378 bytes)
[2026-06-26 16:36:29] INFO     | sar_watcher | \U0001f4dd Queued [binary_converted]: TCLFSLPRDDB1_sa19_20260626163621.txt \u2192 TCLFSLPRDDB1
[2026-06-26 16:36:29] INFO     | sar_watcher | Converting binary SAR via WSL: sa20
[2026-06-26 16:36:37] INFO     | sar_watcher |   Converted \u2192 TCLFSLPRDDB1_sa20_20260626163629.txt (2,338,390 bytes)
[2026-06-26 16:36:37] INFO     | sar_watcher | \U0001f4dd Queued [binary_converted]: TCLFSLPRDDB1_sa20_20260626163629.txt \u2192 TCLFSLPRDDB1
[2026-06-26 16:36:37] INFO     | sar_watcher | Converting binary SAR via WSL: sa21
[2026-06-26 16:36:46] INFO     | sar_watcher |   Converted \u2192 TCLFSLPRDDB1_sa21_20260626163637.txt (2,338,400 bytes)
[2026-06-26 16:36:46] INFO     | sar_watcher | \U0001f4dd Queued [binary_converted]: TCLFSLPRDDB1_sa21_20260626163637.txt \u2192 TCLFSLPRDDB1
[2026-06-26 16:36:46] INFO     | sar_watcher | Converting binary SAR via WSL: sa22
[2026-06-26 16:36:53] INFO     | sar_watcher |   Converted \u2192 TCLFSLPRDDB1_sa22_20260626163646.txt (2,338,361 bytes)
[2026-06-26 16:36:53] INFO     | sar_watcher | \U0001f4dd Queued [binary_converted]: TCLFSLPRDDB1_sa22_20260626163646.txt \u2192 TCLFSLPRDDB1
[2026-06-26 16:36:53] INFO     | sar_watcher | Converting binary SAR via WSL: sa23
[2026-06-26 16:36:59] INFO     | sar_watcher |   Converted \u2192 TCLFSLPRDDB1_sa23_20260626163653.txt (2,338,350 bytes)
[2026-06-26 16:36:59] INFO     | sar_watcher | \U0001f4dd Queued [binary_converted]: TCLFSLPRDDB1_sa23_20260626163653.txt \u2192 TCLFSLPRDDB1
[2026-06-26 16:36:59] INFO     | sar_watcher | Converting binary SAR via WSL: sa24
[2026-06-26 16:37:05] INFO     | sar_watcher |   Converted \u2192 TCLFSLPRDDB1_sa24_20260626163659.txt (2,338,421 bytes)
[2026-06-26 16:37:05] INFO     | sar_watcher | \U0001f4dd Queued [binary_converted]: TCLFSLPRDDB1_sa24_20260626163659.txt \u2192 TCLFSLPRDDB1
[2026-06-26 16:37:05] INFO     | sar_watcher | Converting binary SAR via WSL: sa25
[2026-06-26 16:37:12] INFO     | sar_watcher |   Converted \u2192 TCLFSLPRDDB1_sa25_20260626163705.txt (2,338,347 bytes)
[2026-06-26 16:37:12] INFO     | sar_watcher | \U0001f4dd Queued [binary_converted]: TCLFSLPRDDB1_sa25_20260626163705.txt \u2192 TCLFSLPRDDB1
[2026-06-26 16:37:12] INFO     | sar_watcher | Converting binary SAR via WSL: sa26
[2026-06-26 16:37:17] INFO     | sar_watcher |   Converted \u2192 TCLFSLPRDDB1_sa26_20260626163712.txt (1,802,844 bytes)
[2026-06-26 16:37:17] INFO     | sar_watcher | \U0001f4dd Queued [binary_converted]: TCLFSLPRDDB1_sa26_20260626163712.txt \u2192 TCLFSLPRDDB1
[2026-06-26 16:37:17] INFO     | sar_watcher | Converting binary SAR via WSL: sa27
[2026-06-26 16:37:23] INFO     | sar_watcher |   Converted \u2192 TCLFSLPRDDB1_sa27_20260626163717.txt (1,508,899 bytes)
[2026-06-26 16:37:23] INFO     | sar_watcher | \U0001f4dd Queued [binary_converted]: TCLFSLPRDDB1_sa27_20260626163717.txt \u2192 TCLFSLPRDDB1
[2026-06-26 16:37:23] INFO     | sar_watcher | Converting binary SAR via WSL: sa28
[2026-06-26 16:37:30] INFO     | sar_watcher |   Converted \u2192 TCLFSLPRDDB1_sa28_20260626163723.txt (1,508,937 bytes)
[2026-06-26 16:37:30] INFO     | sar_watcher | \U0001f4dd Queued [binary_converted]: TCLFSLPRDDB1_sa28_20260626163723.txt \u2192 TCLFSLPRDDB1
[2026-06-26 16:37:30] INFO     | sar_watcher | Converting binary SAR via WSL: sa29
[2026-06-26 16:37:36] INFO     | sar_watcher |   Converted \u2192 TCLFSLPRDDB1_sa29_20260626163730.txt (1,508,926 bytes)
[2026-06-26 16:37:36] INFO     | sar_watcher | \U0001f4dd Queued [binary_converted]: TCLFSLPRDDB1_sa29_20260626163730.txt \u2192 TCLFSLPRDDB1
[2026-06-26 16:37:36] INFO     | sar_watcher | Converting binary SAR via WSL: sa30
[2026-06-26 16:37:38] INFO     | sar_watcher |   Converted \u2192 TCLFSLPRDDB1_sa30_20260626163736.txt (358,965 bytes)
[2026-06-26 16:37:38] INFO     | sar_watcher | \U0001f4dd Queued [binary_converted]: TCLFSLPRDDB1_sa30_20260626163736.txt \u2192 TCLFSLPRDDB1
[2026-06-26 16:37:38] INFO     | sar_watcher | \U0001f4dd Queued [text]: sar02.txt \u2192 TCLFSLPRDDB1
[2026-06-29 14:48:23] INFO     | sar_watcher | Converting binary SAR via WSL: sa02
[2026-06-29 14:48:34] INFO     | sar_watcher |   Converted \u2192 TCLFSLPRDDB1_sa02_20260629144823.txt (1,750,851 bytes)
[2026-06-29 14:48:34] INFO     | sar_watcher | \U0001f4dd Queued [binary_converted]: TCLFSLPRDDB1_sa02_20260629144823.txt \u2192 TCLFSLPRDDB1
[2026-06-29 14:48:34] INFO     | sar_watcher | \U0001f4dd Queued [text]: sa02_text.txt \u2192 TCLFSLPRDDB1
[2026-06-29 14:48:34] INFO     | sar_watcher | Converting binary SAR via WSL: sa03
[2026-06-29 14:48:37] INFO     | sar_watcher |   Converted \u2192 TCLFSLPRDDB1_sa03_20260629144834.txt (1,750,870 bytes)
[2026-06-29 14:48:37] INFO     | sar_watcher | \U0001f4dd Queued [binary_converted]: TCLFSLPRDDB1_sa03_20260629144834.txt \u2192 TCLFSLPRDDB1
[2026-06-29 14:48:38] WARNING  | sar_watcher | Could not archive C:\AWR_Insight_Portal_v2\sar_drop\TCLFSLPRDDB1\sa03: [WinError 2] The system cannot find the file specified
[2026-06-29 14:48:38] INFO     | sar_watcher | \U0001f4dd Queued [text]: sa03_text.txt \u2192 TCLFSLPRDDB1
[2026-06-29 14:48:38] WARNING  | sar_watcher | Could not archive C:\AWR_Insight_Portal_v2\sar_drop\TCLFSLPRDDB1\sa03_text.txt: [WinError 2] The system cannot find the file specified
[2026-06-29 14:48:38] INFO     | sar_watcher | Converting binary SAR via WSL: sa04
[2026-06-29 14:48:38] ERROR    | sar_watcher |   WSL conversion failed: Cannot open /mnt/c/AWR_Insight_Portal_v2/sar_drop/TCLFSLPRDDB1/sa04: No such file or directory

[2026-06-29 14:48:38] ERROR    | sar_watcher | \u274c Binary conversion failed for sa04 — left in place for retry
[2026-06-29 14:48:38] INFO     | sar_watcher | Converting binary SAR via WSL: sa05
[2026-06-29 14:48:38] ERROR    | sar_watcher |   WSL conversion failed: Cannot open /mnt/c/AWR_Insight_Portal_v2/sar_drop/TCLFSLPRDDB1/sa05: No such file or directory

[2026-06-29 14:48:38] ERROR    | sar_watcher | \u274c Binary conversion failed for sa05 — left in place for retry
[2026-06-29 14:48:38] INFO     | sar_watcher | Converting binary SAR via WSL: sa06
[2026-06-29 14:48:38] ERROR    | sar_watcher |   WSL conversion failed: Cannot open /mnt/c/AWR_Insight_Portal_v2/sar_drop/TCLFSLPRDDB1/sa06: No such file or directory

[2026-06-29 14:48:38] ERROR    | sar_watcher | \u274c Binary conversion failed for sa06 — left in place for retry
[2026-06-29 14:48:38] INFO     | sar_watcher | Converting binary SAR via WSL: sa07
[2026-06-29 14:48:38] ERROR    | sar_watcher |   WSL conversion failed: Cannot open /mnt/c/AWR_Insight_Portal_v2/sar_drop/TCLFSLPRDDB1/sa07: No such file or directory

[2026-06-29 14:48:38] ERROR    | sar_watcher | \u274c Binary conversion failed for sa07 — left in place for retry
[2026-06-29 14:48:38] INFO     | sar_watcher | Converting binary SAR via WSL: sa08
[2026-06-29 14:48:39] ERROR    | sar_watcher |   WSL conversion failed: Cannot open /mnt/c/AWR_Insight_Portal_v2/sar_drop/TCLFSLPRDDB1/sa08: No such file or directory

[2026-06-29 14:48:39] ERROR    | sar_watcher | \u274c Binary conversion failed for sa08 — left in place for retry
[2026-06-29 14:48:39] INFO     | sar_watcher | Converting binary SAR via WSL: sa09
[2026-06-29 14:48:39] ERROR    | sar_watcher |   WSL conversion failed: Cannot open /mnt/c/AWR_Insight_Portal_v2/sar_drop/TCLFSLPRDDB1/sa09: No such file or directory

[2026-06-29 14:48:39] ERROR    | sar_watcher | \u274c Binary conversion failed for sa09 — left in place for retry
[2026-06-29 14:48:39] INFO     | sar_watcher | Converting binary SAR via WSL: sa10
[2026-06-29 14:48:39] ERROR    | sar_watcher |   WSL conversion failed: Cannot open /mnt/c/AWR_Insight_Portal_v2/sar_drop/TCLFSLPRDDB1/sa10: No such file or directory

[2026-06-29 14:48:39] ERROR    | sar_watcher | \u274c Binary conversion failed for sa10 — left in place for retry
[2026-06-29 14:48:39] INFO     | sar_watcher | Converting binary SAR via WSL: sa11
[2026-06-29 14:48:39] ERROR    | sar_watcher |   WSL conversion failed: Cannot open /mnt/c/AWR_Insight_Portal_v2/sar_drop/TCLFSLPRDDB1/sa11: No such file or directory

[2026-06-29 14:48:39] ERROR    | sar_watcher | \u274c Binary conversion failed for sa11 — left in place for retry
[2026-06-29 14:48:39] INFO     | sar_watcher | Converting binary SAR via WSL: sa12
[2026-06-29 14:48:39] ERROR    | sar_watcher |   WSL conversion failed: Cannot open /mnt/c/AWR_Insight_Portal_v2/sar_drop/TCLFSLPRDDB1/sa12: No such file or directory

[2026-06-29 14:48:39] ERROR    | sar_watcher | \u274c Binary conversion failed for sa12 — left in place for retry
[2026-06-29 14:48:39] INFO     | sar_watcher | Converting binary SAR via WSL: sa13
[2026-06-29 14:48:39] ERROR    | sar_watcher |   WSL conversion failed: Cannot open /mnt/c/AWR_Insight_Portal_v2/sar_drop/TCLFSLPRDDB1/sa13: No such file or directory

[2026-06-29 14:48:39] ERROR    | sar_watcher | \u274c Binary conversion failed for sa13 — left in place for retry
[2026-06-29 14:48:39] INFO     | sar_watcher | Converting binary SAR via WSL: sa14
[2026-06-29 14:48:40] ERROR    | sar_watcher |   WSL conversion failed: Cannot open /mnt/c/AWR_Insight_Portal_v2/sar_drop/TCLFSLPRDDB1/sa14: No such file or directory

[2026-06-29 14:48:40] ERROR    | sar_watcher | \u274c Binary conversion failed for sa14 — left in place for retry
[2026-06-29 14:48:40] INFO     | sar_watcher | Converting binary SAR via WSL: sa15
[2026-06-29 14:48:40] ERROR    | sar_watcher |   WSL conversion failed: Cannot open /mnt/c/AWR_Insight_Portal_v2/sar_drop/TCLFSLPRDDB1/sa15: No such file or directory

[2026-06-29 14:48:40] ERROR    | sar_watcher | \u274c Binary conversion failed for sa15 — left in place for retry
[2026-06-29 14:48:40] INFO     | sar_watcher | Converting binary SAR via WSL: sa16
[2026-06-29 14:48:40] ERROR    | sar_watcher |   WSL conversion failed: Cannot open /mnt/c/AWR_Insight_Portal_v2/sar_drop/TCLFSLPRDDB1/sa16: No such file or directory

[2026-06-29 14:48:40] ERROR    | sar_watcher | \u274c Binary conversion failed for sa16 — left in place for retry
[2026-06-29 14:48:40] INFO     | sar_watcher | Converting binary SAR via WSL: sa17
[2026-06-29 14:48:40] ERROR    | sar_watcher |   WSL conversion failed: Cannot open /mnt/c/AWR_Insight_Portal_v2/sar_drop/TCLFSLPRDDB1/sa17: No such file or directory

[2026-06-29 14:48:40] ERROR    | sar_watcher | \u274c Binary conversion failed for sa17 — left in place for retry
[2026-06-29 14:48:40] INFO     | sar_watcher | Converting binary SAR via WSL: sa18
[2026-06-29 14:48:41] ERROR    | sar_watcher |   WSL conversion failed: Cannot open /mnt/c/AWR_Insight_Portal_v2/sar_drop/TCLFSLPRDDB1/sa18: No such file or directory

[2026-06-29 14:48:41] ERROR    | sar_watcher | \u274c Binary conversion failed for sa18 — left in place for retry
[2026-06-29 14:48:41] INFO     | sar_watcher | Converting binary SAR via WSL: sa19
[2026-06-29 14:48:41] ERROR    | sar_watcher |   WSL conversion failed: Cannot open /mnt/c/AWR_Insight_Portal_v2/sar_drop/TCLFSLPRDDB1/sa19: No such file or directory

[2026-06-29 14:48:41] ERROR    | sar_watcher | \u274c Binary conversion failed for sa19 — left in place for retry
[2026-06-29 14:48:41] INFO     | sar_watcher | Converting binary SAR via WSL: sa20
[2026-06-29 14:48:41] ERROR    | sar_watcher |   WSL conversion failed: Cannot open /mnt/c/AWR_Insight_Portal_v2/sar_drop/TCLFSLPRDDB1/sa20: No such file or directory

[2026-06-29 14:48:41] ERROR    | sar_watcher | \u274c Binary conversion failed for sa20 — left in place for retry
[2026-06-29 14:48:41] INFO     | sar_watcher | Converting binary SAR via WSL: sa21
[2026-06-29 14:48:41] ERROR    | sar_watcher |   WSL conversion failed: Cannot open /mnt/c/AWR_Insight_Portal_v2/sar_drop/TCLFSLPRDDB1/sa21: No such file or directory

[2026-06-29 14:48:41] ERROR    | sar_watcher | \u274c Binary conversion failed for sa21 — left in place for retry
[2026-06-29 14:48:41] INFO     | sar_watcher | Converting binary SAR via WSL: sa22
[2026-06-29 14:48:41] ERROR    | sar_watcher |   WSL conversion failed: Cannot open /mnt/c/AWR_Insight_Portal_v2/sar_drop/TCLFSLPRDDB1/sa22: No such file or directory

[2026-06-29 14:48:41] ERROR    | sar_watcher | \u274c Binary conversion failed for sa22 — left in place for retry
[2026-06-29 14:48:41] INFO     | sar_watcher | Converting binary SAR via WSL: sa23
[2026-06-29 14:48:42] ERROR    | sar_watcher |   WSL conversion failed: Cannot open /mnt/c/AWR_Insight_Portal_v2/sar_drop/TCLFSLPRDDB1/sa23: No such file or directory

[2026-06-29 14:48:42] ERROR    | sar_watcher | \u274c Binary conversion failed for sa23 — left in place for retry
[2026-06-29 14:48:42] INFO     | sar_watcher | Converting binary SAR via WSL: sa24
[2026-06-29 14:48:42] ERROR    | sar_watcher |   WSL conversion failed: Cannot open /mnt/c/AWR_Insight_Portal_v2/sar_drop/TCLFSLPRDDB1/sa24: No such file or directory

[2026-06-29 14:48:42] ERROR    | sar_watcher | \u274c Binary conversion failed for sa24 — left in place for retry
[2026-06-29 14:48:42] INFO     | sar_watcher | Converting binary SAR via WSL: sa25
[2026-06-29 14:48:42] ERROR    | sar_watcher |   WSL conversion failed: Cannot open /mnt/c/AWR_Insight_Portal_v2/sar_drop/TCLFSLPRDDB1/sa25: No such file or directory

[2026-06-29 14:48:42] ERROR    | sar_watcher | \u274c Binary conversion failed for sa25 — left in place for retry
[2026-06-29 14:48:42] INFO     | sar_watcher | Converting binary SAR via WSL: sa26
[2026-06-29 14:48:42] ERROR    | sar_watcher |   WSL conversion failed: Cannot open /mnt/c/AWR_Insight_Portal_v2/sar_drop/TCLFSLPRDDB1/sa26: No such file or directory

[2026-06-29 14:48:42] ERROR    | sar_watcher | \u274c Binary conversion failed for sa26 — left in place for retry
[2026-06-29 14:48:42] INFO     | sar_watcher | Converting binary SAR via WSL: sa27
