[2026-07-03 12:34:15] INFO     | recommendation_engine | Stored 7 recommendations to DB
[2026-07-03 12:35:29] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 12:35:29] INFO     | recommendation_engine | Evaluating recommendations: JRVSDB snaps 81616-81616
[2026-07-03 12:35:30] INFO     | recommendation_engine | Recommendations complete: 7 findings (critical=0, high=5)
[2026-07-03 12:35:30] INFO     | recommendation_engine | Stored 7 recommendations to DB
[2026-07-03 12:35:34] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 12:35:34] INFO     | recommendation_engine | Evaluating recommendations: DMSDB snaps 2790-2790
[2026-07-03 12:35:34] INFO     | recommendation_engine | Recommendations complete: 4 findings (critical=0, high=3)
[2026-07-03 12:35:35] INFO     | recommendation_engine | Stored 4 recommendations to DB
[2026-07-03 12:35:42] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 12:35:42] INFO     | recommendation_engine | Evaluating recommendations: GTWPRD snaps 39714-39714
[2026-07-03 12:35:43] WARNING  | recommendation_engine | SQL metrics fetch failed: unsupported operand type(s) for /: 'float' and 'decimal.Decimal'
[2026-07-03 12:35:43] INFO     | recommendation_engine | Recommendations complete: 7 findings (critical=0, high=5)
[2026-07-03 12:35:43] INFO     | recommendation_engine | Stored 7 recommendations to DB
[2026-07-03 12:35:52] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 12:35:52] INFO     | recommendation_engine | Evaluating recommendations: COLDBPRD snaps 32545-32545
[2026-07-03 12:35:53] INFO     | recommendation_engine | Recommendations complete: 5 findings (critical=0, high=4)
[2026-07-03 12:35:53] INFO     | recommendation_engine | Stored 5 recommendations to DB
[2026-07-03 12:37:42] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 12:37:42] INFO     | recommendation_engine | Evaluating recommendations: JRVSDB snaps 81617-81617
[2026-07-03 12:37:42] INFO     | recommendation_engine | Recommendations complete: 8 findings (critical=0, high=6)
[2026-07-03 12:37:42] INFO     | recommendation_engine | Stored 8 recommendations to DB
[2026-07-03 12:37:54] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 12:37:54] INFO     | recommendation_engine | Evaluating recommendations: DMSDB snaps 2792-2792
[2026-07-03 12:37:54] INFO     | recommendation_engine | Recommendations complete: 4 findings (critical=0, high=3)
[2026-07-03 12:37:55] INFO     | recommendation_engine | Stored 4 recommendations to DB
[2026-07-03 12:37:58] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 12:37:58] INFO     | recommendation_engine | Evaluating recommendations: GTWPRD snaps 39715-39715
[2026-07-03 12:37:58] WARNING  | recommendation_engine | SQL metrics fetch failed: unsupported operand type(s) for /: 'float' and 'decimal.Decimal'
[2026-07-03 12:37:58] INFO     | recommendation_engine | Recommendations complete: 5 findings (critical=0, high=3)
[2026-07-03 12:37:59] INFO     | recommendation_engine | Stored 5 recommendations to DB
[2026-07-03 12:38:21] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 12:38:21] INFO     | recommendation_engine | Evaluating recommendations: NEODBPRD snaps 116865-116865
[2026-07-03 12:38:21] WARNING  | recommendation_engine | SQL metrics fetch failed: unsupported operand type(s) for /: 'float' and 'decimal.Decimal'
[2026-07-03 12:38:21] INFO     | recommendation_engine | Recommendations complete: 5 findings (critical=1, high=3)
[2026-07-03 12:38:21] INFO     | recommendation_engine | Stored 5 recommendations to DB
[2026-07-03 12:40:21] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 12:40:21] INFO     | recommendation_engine | Evaluating recommendations: NEODBPRD snaps 116866-116866
[2026-07-03 12:40:21] WARNING  | recommendation_engine | SQL metrics fetch failed: unsupported operand type(s) for /: 'float' and 'decimal.Decimal'
[2026-07-03 12:40:21] INFO     | recommendation_engine | Recommendations complete: 5 findings (critical=1, high=3)
[2026-07-03 12:40:21] INFO     | recommendation_engine | Stored 5 recommendations to DB
[2026-07-03 12:40:37] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 12:40:37] INFO     | recommendation_engine | Evaluating recommendations: ONE_LMS snaps 139373-139373
[2026-07-03 12:40:37] WARNING  | recommendation_engine | SQL metrics fetch failed: unsupported operand type(s) for /: 'float' and 'decimal.Decimal'
[2026-07-03 12:40:37] INFO     | recommendation_engine | Recommendations complete: 4 findings (critical=0, high=3)
[2026-07-03 12:40:37] INFO     | recommendation_engine | Stored 4 recommendations to DB
[2026-07-03 12:42:01] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 12:42:01] INFO     | recommendation_engine | Evaluating recommendations: PAYMENTS snaps 61679-61679
[2026-07-03 12:42:01] INFO     | recommendation_engine | Recommendations complete: 5 findings (critical=1, high=4)
[2026-07-03 12:42:01] INFO     | recommendation_engine | Stored 5 recommendations to DB
[2026-07-03 12:42:14] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 12:42:14] INFO     | recommendation_engine | Evaluating recommendations: NEODBPRD snaps 116867-116867
[2026-07-03 12:42:14] WARNING  | recommendation_engine | SQL metrics fetch failed: unsupported operand type(s) for /: 'float' and 'decimal.Decimal'
[2026-07-03 12:42:14] INFO     | recommendation_engine | Recommendations complete: 7 findings (critical=1, high=4)
[2026-07-03 12:42:14] INFO     | recommendation_engine | Stored 7 recommendations to DB
[2026-07-03 12:43:23] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 12:43:23] INFO     | recommendation_engine | Evaluating recommendations: ONE_LMS snaps 139377-139377
[2026-07-03 12:43:24] WARNING  | recommendation_engine | SQL metrics fetch failed: unsupported operand type(s) for /: 'float' and 'decimal.Decimal'
[2026-07-03 12:43:24] INFO     | recommendation_engine | Recommendations complete: 3 findings (critical=0, high=2)
[2026-07-03 12:43:24] INFO     | recommendation_engine | Stored 3 recommendations to DB
[2026-07-03 12:47:04] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 12:47:04] INFO     | recommendation_engine | Evaluating recommendations: PAYMENTS snaps 61680-61680
[2026-07-03 12:47:04] INFO     | recommendation_engine | Recommendations complete: 5 findings (critical=1, high=4)
[2026-07-03 12:47:04] INFO     | recommendation_engine | Stored 5 recommendations to DB
[2026-07-03 12:47:18] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 12:47:18] INFO     | recommendation_engine | Evaluating recommendations: ONE_LMS snaps 139381-139381
[2026-07-03 12:47:18] WARNING  | recommendation_engine | SQL metrics fetch failed: unsupported operand type(s) for /: 'float' and 'decimal.Decimal'
[2026-07-03 12:47:18] INFO     | recommendation_engine | Recommendations complete: 4 findings (critical=0, high=3)
[2026-07-03 12:47:18] INFO     | recommendation_engine | Stored 4 recommendations to DB
[2026-07-03 12:50:17] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 12:50:17] INFO     | recommendation_engine | Evaluating recommendations: ONE_LMS snaps 139381-139381
[2026-07-03 12:50:17] WARNING  | recommendation_engine | SQL metrics fetch failed: unsupported operand type(s) for /: 'float' and 'decimal.Decimal'
[2026-07-03 12:50:17] INFO     | recommendation_engine | Recommendations complete: 4 findings (critical=0, high=3)
[2026-07-03 12:50:17] INFO     | recommendation_engine | Stored 4 recommendations to DB
[2026-07-03 12:51:10] INFO     | recommendation_engine | Loaded 42 recommendation rules from C:\AWR_Insight_Portal_v2\rules/recommendation_rules_v2.json
[2026-07-03 12:51:10] INFO     | recommendation_engine | Evaluating recommendations: PAYMENTS snaps 61681-61681
