[2026-07-02 21:59:28] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa16_20260702215923.txt (2,338,409 bytes)
[2026-07-02 21:59:28] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa16_20260702215923.txt → TCLFSLPRDDB1
[2026-07-02 21:59:28] INFO     | sar_watcher | Converting binary SAR via WSL: sa17
[2026-07-02 21:59:32] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa17_20260702215928.txt (2,338,444 bytes)
[2026-07-02 21:59:32] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa17_20260702215928.txt → TCLFSLPRDDB1
[2026-07-02 21:59:32] INFO     | sar_watcher | Converting binary SAR via WSL: sa18
[2026-07-02 21:59:37] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa18_20260702215932.txt (2,338,391 bytes)
[2026-07-02 21:59:37] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa18_20260702215932.txt → TCLFSLPRDDB1
[2026-07-02 21:59:37] INFO     | sar_watcher | Converting binary SAR via WSL: sa19
[2026-07-02 21:59:41] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa19_20260702215937.txt (2,338,378 bytes)
[2026-07-02 21:59:41] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa19_20260702215937.txt → TCLFSLPRDDB1
[2026-07-02 21:59:41] INFO     | sar_watcher | Converting binary SAR via WSL: sa20
[2026-07-02 21:59:45] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa20_20260702215941.txt (2,338,390 bytes)
[2026-07-02 21:59:45] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa20_20260702215941.txt → TCLFSLPRDDB1
[2026-07-02 21:59:45] INFO     | sar_watcher | Converting binary SAR via WSL: sa21
[2026-07-02 21:59:52] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa21_20260702215945.txt (2,338,400 bytes)
[2026-07-02 21:59:52] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa21_20260702215945.txt → TCLFSLPRDDB1
[2026-07-02 21:59:52] INFO     | sar_watcher | Converting binary SAR via WSL: sa22
[2026-07-02 21:59:58] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa22_20260702215952.txt (2,338,361 bytes)
[2026-07-02 21:59:58] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa22_20260702215952.txt → TCLFSLPRDDB1
[2026-07-02 21:59:58] INFO     | sar_watcher | Converting binary SAR via WSL: sa23
[2026-07-02 22:00:05] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa23_20260702215958.txt (2,338,350 bytes)
[2026-07-02 22:00:05] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa23_20260702215958.txt → TCLFSLPRDDB1
[2026-07-02 22:00:05] INFO     | sar_watcher | Converting binary SAR via WSL: sa24
[2026-07-02 22:00:13] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa24_20260702220005.txt (2,338,421 bytes)
[2026-07-02 22:00:13] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa24_20260702220005.txt → TCLFSLPRDDB1
[2026-07-02 22:00:13] INFO     | sar_watcher | Converting binary SAR via WSL: sa25
[2026-07-02 22:00:22] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa25_20260702220013.txt (2,338,347 bytes)
[2026-07-02 22:00:22] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa25_20260702220013.txt → TCLFSLPRDDB1
[2026-07-02 22:00:22] INFO     | sar_watcher | Converting binary SAR via WSL: sa26
[2026-07-02 22:00:29] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa26_20260702220022.txt (1,802,844 bytes)
[2026-07-02 22:00:29] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa26_20260702220022.txt → TCLFSLPRDDB1
[2026-07-02 22:00:29] INFO     | sar_watcher | Converting binary SAR via WSL: sa27
[2026-07-02 22:00:36] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa27_20260702220029.txt (1,508,899 bytes)
[2026-07-02 22:00:36] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa27_20260702220029.txt → TCLFSLPRDDB1
[2026-07-02 22:00:36] INFO     | sar_watcher | Converting binary SAR via WSL: sa28
[2026-07-02 22:00:41] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa28_20260702220036.txt (1,508,937 bytes)
[2026-07-02 22:00:41] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa28_20260702220036.txt → TCLFSLPRDDB1
[2026-07-02 22:00:41] INFO     | sar_watcher | Converting binary SAR via WSL: sa29
[2026-07-02 22:00:48] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa29_20260702220041.txt (1,508,926 bytes)
[2026-07-02 22:00:48] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa29_20260702220041.txt → TCLFSLPRDDB1
[2026-07-02 22:00:48] INFO     | sar_watcher | Converting binary SAR via WSL: sa30
[2026-07-02 22:00:49] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa30_20260702220048.txt (358,965 bytes)
[2026-07-02 22:00:49] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa30_20260702220048.txt → TCLFSLPRDDB1
[2026-07-02 22:00:49] INFO     | sar_watcher | 📝 Queued [text]: sar02.txt → TCLFSLPRDDB1
[2026-07-02 22:01:04] INFO     | sar_watcher | Converting binary SAR via WSL: sa02
[2026-07-02 22:01:16] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa02_20260702220104.txt (1,750,851 bytes)
[2026-07-02 22:01:16] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa02_20260702220104.txt → TCLFSLPRDDB1
[2026-07-02 22:01:16] INFO     | sar_watcher | Converting binary SAR via WSL: sa03
[2026-07-02 22:01:21] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa03_20260702220116.txt (1,750,870 bytes)
[2026-07-02 22:01:21] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa03_20260702220116.txt → TCLFSLPRDDB1
[2026-07-02 22:01:21] INFO     | sar_watcher | Converting binary SAR via WSL: sa04
[2026-07-02 22:01:27] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa04_20260702220121.txt (1,750,835 bytes)
[2026-07-02 22:01:27] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa04_20260702220121.txt → TCLFSLPRDDB1
[2026-07-02 22:01:27] INFO     | sar_watcher | Converting binary SAR via WSL: sa05
[2026-07-02 22:01:37] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa05_20260702220127.txt (1,750,889 bytes)
[2026-07-02 22:01:37] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa05_20260702220127.txt → TCLFSLPRDDB1
[2026-07-02 22:01:37] INFO     | sar_watcher | Converting binary SAR via WSL: sa06
[2026-07-02 22:01:42] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa06_20260702220137.txt (1,750,848 bytes)
[2026-07-02 22:01:42] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa06_20260702220137.txt → TCLFSLPRDDB1
[2026-07-02 22:01:42] INFO     | sar_watcher | Converting binary SAR via WSL: sa07
[2026-07-02 22:01:47] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa07_20260702220142.txt (1,750,834 bytes)
[2026-07-02 22:01:47] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa07_20260702220142.txt → TCLFSLPRDDB1
[2026-07-02 22:01:47] INFO     | sar_watcher | Converting binary SAR via WSL: sa08
[2026-07-02 22:01:52] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa08_20260702220147.txt (1,750,838 bytes)
[2026-07-02 22:01:52] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa08_20260702220147.txt → TCLFSLPRDDB1
[2026-07-02 22:01:52] INFO     | sar_watcher | Converting binary SAR via WSL: sa09
[2026-07-02 22:01:57] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa09_20260702220152.txt (1,750,891 bytes)
[2026-07-02 22:01:57] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa09_20260702220152.txt → TCLFSLPRDDB1
[2026-07-02 22:01:57] INFO     | sar_watcher | Converting binary SAR via WSL: sa10
[2026-07-02 22:02:02] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa10_20260702220157.txt (1,750,894 bytes)
[2026-07-02 22:02:02] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa10_20260702220157.txt → TCLFSLPRDDB1
[2026-07-02 22:02:02] INFO     | sar_watcher | Converting binary SAR via WSL: sa11
[2026-07-02 22:02:07] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa11_20260702220202.txt (1,750,843 bytes)
[2026-07-02 22:02:07] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa11_20260702220202.txt → TCLFSLPRDDB1
[2026-07-02 22:02:07] INFO     | sar_watcher | Converting binary SAR via WSL: sa12
[2026-07-02 22:02:13] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa12_20260702220207.txt (1,750,851 bytes)
[2026-07-02 22:02:13] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa12_20260702220207.txt → TCLFSLPRDDB1
[2026-07-02 22:02:13] INFO     | sar_watcher | Converting binary SAR via WSL: sa13
[2026-07-02 22:02:14] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa13_20260702220213.txt (142,906 bytes)
[2026-07-02 22:02:14] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa13_20260702220213.txt → TCLFSLPRDDB1
[2026-07-02 22:02:14] INFO     | sar_watcher | Converting binary SAR via WSL: sa14
[2026-07-02 22:02:22] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa14_20260702220214.txt (2,338,355 bytes)
[2026-07-02 22:02:22] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa14_20260702220214.txt → TCLFSLPRDDB1
[2026-07-02 22:02:22] INFO     | sar_watcher | Converting binary SAR via WSL: sa15
[2026-07-02 22:02:28] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa15_20260702220222.txt (2,338,339 bytes)
[2026-07-02 22:02:28] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa15_20260702220222.txt → TCLFSLPRDDB1
[2026-07-02 22:02:28] INFO     | sar_watcher | Converting binary SAR via WSL: sa16
[2026-07-02 22:02:34] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa16_20260702220228.txt (2,338,409 bytes)
[2026-07-02 22:02:34] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa16_20260702220228.txt → TCLFSLPRDDB1
[2026-07-02 22:02:34] INFO     | sar_watcher | Converting binary SAR via WSL: sa17
[2026-07-02 22:02:41] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa17_20260702220234.txt (2,338,444 bytes)
[2026-07-02 22:02:41] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa17_20260702220234.txt → TCLFSLPRDDB1
[2026-07-02 22:02:41] INFO     | sar_watcher | Converting binary SAR via WSL: sa18
[2026-07-02 22:02:46] INFO     | sar_watcher |   Converted → TCLFSLPRDDB1_sa18_20260702220241.txt (2,338,391 bytes)
[2026-07-02 22:02:46] INFO     | sar_watcher | 📝 Queued [binary_converted]: TCLFSLPRDDB1_sa18_20260702220241.txt → TCLFSLPRDDB1
